"rt","stimulus","key_press","test_part","correct_response","trial_type","trial_index","time_elapsed","internal_node_id","correct"
"3030","ImagesDirect/VL97.5.png","190","test",".","image-keyboard-response","4","35429","0.0-3.0-1.0","true"
"806","ImagesDirect/VR92.5.png","188","test",",","image-keyboard-response","6","36740","0.0-3.0-1.1","true"
"929","ImagesDirect/VR97.5.png","190","test",",","image-keyboard-response","8","38174","0.0-3.0-1.2","false"
"846","ImagesTennis/TR110.png","190","test",".","image-keyboard-response","10","39535","0.0-3.0-1.3","true"
"752","ImagesDirect/VR110.png","190","test",".","image-keyboard-response","12","40798","0.0-3.0-1.4","true"
"724","ImagesDirect/VL100.png","188","test",".","image-keyboard-response","14","42027","0.0-3.0-1.5","false"
"972","ImagesTennis/TR90.png","188","test",",","image-keyboard-response","16","43518","0.0-3.0-1.6","true"
"712","ImagesDirect/VR102.5.png","190","test",".","image-keyboard-response","18","44733","0.0-3.0-1.7","true"
"833","ImagesTennis/TL90.png","190","test",".","image-keyboard-response","20","46079","0.0-3.0-1.8","true"
"931","ImagesSoccer/VR90.png","188","test",",","image-keyboard-response","22","47527","0.0-3.0-1.9","true"
"795","ImagesDirect/VR107.5.png","190","test",".","image-keyboard-response","24","48828","0.0-3.0-1.10","true"
"1245","ImagesSoccer/VR95.png","188","test",",","image-keyboard-response","26","50588","0.0-3.0-1.11","true"
"799","ImagesDirect/VL105.png","188","test",",","image-keyboard-response","28","51902","0.0-3.0-1.12","true"
"762","ImagesTennis/TL110.png","188","test",",","image-keyboard-response","30","53184","0.0-3.0-1.13","true"
"727","ImagesTennis/TR107.5.png","190","test",".","image-keyboard-response","32","54415","0.0-3.0-1.14","true"
"1451","ImagesDirect/VR95.png","190","test",",","image-keyboard-response","34","56374","0.0-3.0-1.15","false"
"675","ImagesSoccer/VL95.png","188","test",".","image-keyboard-response","36","57564","0.0-3.0-1.16","false"
"1183","ImagesDirect/VL110.png","188","test",",","image-keyboard-response","38","59260","0.0-3.0-1.17","true"
"820","ImagesSoccer/VR107.5.png","190","test",".","image-keyboard-response","40","60594","0.0-3.0-1.18","true"
"724","ImagesDirect/VL107.5.png","188","test",",","image-keyboard-response","42","61837","0.0-3.0-1.19","true"
"3173","ImagesSoccer/VR92.5.png","188","test",",","image-keyboard-response","44","65516","0.0-3.0-1.20","true"
"1259","ImagesSoccer/VL100.png","188","test",".","image-keyboard-response","46","67285","0.0-3.0-1.21","false"
"1145","ImagesTennis/TR105.png","190","test",".","image-keyboard-response","48","68949","0.0-3.0-1.22","true"
"822","ImagesSoccer/VL105.png","188","test",",","image-keyboard-response","50","70285","0.0-3.0-1.23","true"
"995","ImagesTennis/TL92.5.png","190","test",".","image-keyboard-response","52","71799","0.0-3.0-1.24","true"
"1390","ImagesDirect/VL92.5.png","190","test",".","image-keyboard-response","54","73694","0.0-3.0-1.25","true"
"888","ImagesTennis/TR92.5.png","188","test",",","image-keyboard-response","56","75095","0.0-3.0-1.26","true"
"1096","ImagesTennis/TL100.png","190","test",".","image-keyboard-response","58","76702","0.0-3.0-1.27","true"
"926","ImagesDirect/VR105.png","190","test",".","image-keyboard-response","60","78150","0.0-3.0-1.28","true"
"841","ImagesSoccer/VR110.png","190","test",".","image-keyboard-response","62","79494","0.0-3.0-1.29","true"
"791","ImagesDirect/VL102.5.png","188","test",",","image-keyboard-response","64","80806","0.0-3.0-1.30","true"
"996","ImagesDirect/VR90.png","188","test",",","image-keyboard-response","66","82310","0.0-3.0-1.31","true"
"1021","ImagesTennis/TR97.5.png","188","test",",","image-keyboard-response","68","83836","0.0-3.0-1.32","true"
"803","ImagesSoccer/VL97.5.png","188","test",".","image-keyboard-response","70","85157","0.0-3.0-1.33","false"
"1022","ImagesSoccer/VR100.png","190","test",".","image-keyboard-response","72","86696","0.0-3.0-1.34","true"
"775","ImagesTennis/TL95.png","188","test",".","image-keyboard-response","74","87990","0.0-3.0-1.35","false"
"1375","ImagesTennis/TL102.5.png","190","test",",","image-keyboard-response","76","89869","0.0-3.0-1.36","false"
"1175","ImagesSoccer/VR97.5.png","188","test",",","image-keyboard-response","78","91548","0.0-3.0-1.37","true"
"1126","ImagesTennis/TL97.5.png","190","test",".","image-keyboard-response","80","93181","0.0-3.0-1.38","true"
