"rt","stimulus","key_press","test_part","correct_response","trial_type","trial_index","time_elapsed","internal_node_id","correct"
"3801","ImagesSoccer/VL102.5.png","188","test",",","image-keyboard-response","4","29049","0.0-3.0-1.0","true"
"2547","ImagesSoccer/VR100.png","190","test",".","image-keyboard-response","6","32099","0.0-3.0-1.1","true"
"2522","ImagesSoccer/VL110.png","188","test",",","image-keyboard-response","8","35132","0.0-3.0-1.2","true"
"2464","ImagesTennis/TL97.5.png","188","test",".","image-keyboard-response","10","38107","0.0-3.0-1.3","false"
"1586","ImagesTennis/TR97.5.png","190","test",",","image-keyboard-response","12","40196","0.0-3.0-1.4","false"
"838","ImagesTennis/TL105.png","188","test",",","image-keyboard-response","14","41548","0.0-3.0-1.5","true"
"1749","ImagesSoccer/VL95.png","190","test",".","image-keyboard-response","16","43804","0.0-3.0-1.6","true"
"841","ImagesTennis/TL90.png","190","test",".","image-keyboard-response","18","45148","0.0-3.0-1.7","true"
"1309","ImagesSoccer/VL105.png","188","test",",","image-keyboard-response","20","46972","0.0-3.0-1.8","true"
"1002","ImagesSoccer/VL92.5.png","190","test",".","image-keyboard-response","22","48476","0.0-3.0-1.9","true"
"1937","ImagesDirect/VR110.png","190","test",".","image-keyboard-response","24","50916","0.0-3.0-1.10","true"
"1161","ImagesTennis/TR95.png","188","test",",","image-keyboard-response","26","52588","0.0-3.0-1.11","true"
"978","ImagesDirect/VR102.5.png","190","test",".","image-keyboard-response","28","54068","0.0-3.0-1.12","true"
"1089","ImagesDirect/VR100.png","190","test",".","image-keyboard-response","30","55667","0.0-3.0-1.13","true"
"927","ImagesDirect/VL107.5.png","188","test",",","image-keyboard-response","32","57103","0.0-3.0-1.14","true"
"1022","ImagesTennis/TR107.5.png","190","test",".","image-keyboard-response","34","58636","0.0-3.0-1.15","true"
"3438","ImagesTennis/TR100.png","190","test",".","image-keyboard-response","36","62575","0.0-3.0-1.16","true"
"1470","ImagesDirect/VL90.png","190","test",".","image-keyboard-response","38","64559","0.0-3.0-1.17","true"
"1177","ImagesDirect/VR92.5.png","188","test",",","image-keyboard-response","40","66240","0.0-3.0-1.18","true"
"1328","ImagesSoccer/VR95.png","188","test",",","image-keyboard-response","42","68071","0.0-3.0-1.19","true"
"776","ImagesTennis/TR92.5.png","188","test",",","image-keyboard-response","44","69351","0.0-3.0-1.20","true"
"2098","ImagesTennis/TL102.5.png","188","test",",","image-keyboard-response","46","71951","0.0-3.0-1.21","true"
"1665","ImagesDirect/VL97.5.png","190","test",".","image-keyboard-response","48","74119","0.0-3.0-1.22","true"
"785","ImagesTennis/TR105.png","188","test",".","image-keyboard-response","50","75407","0.0-3.0-1.23","false"
"890","ImagesTennis/TL95.png","190","test",".","image-keyboard-response","52","76800","0.0-3.0-1.24","true"
"3329","ImagesDirect/VR97.5.png","190","test",",","image-keyboard-response","54","80631","0.0-3.0-1.25","false"
"841","ImagesSoccer/VL107.5.png","188","test",",","image-keyboard-response","56","81975","0.0-3.0-1.26","true"
"906","ImagesSoccer/VR107.5.png","190","test",".","image-keyboard-response","58","83383","0.0-3.0-1.27","true"
"778","ImagesDirect/VR107.5.png","190","test",".","image-keyboard-response","60","84663","0.0-3.0-1.28","true"
"2106","ImagesDirect/VL100.png","188","test",".","image-keyboard-response","62","87271","0.0-3.0-1.29","false"
"737","ImagesDirect/VL110.png","188","test",",","image-keyboard-response","64","88510","0.0-3.0-1.30","true"
"798","ImagesSoccer/VR110.png","190","test",".","image-keyboard-response","66","89811","0.0-3.0-1.31","true"
"1689","ImagesSoccer/VR102.5.png","190","test",".","image-keyboard-response","68","92003","0.0-3.0-1.32","true"
"1022","ImagesDirect/VL105.png","188","test",",","image-keyboard-response","70","93530","0.0-3.0-1.33","true"
"946","ImagesTennis/TL110.png","188","test",",","image-keyboard-response","72","94979","0.0-3.0-1.34","true"
"1345","ImagesTennis/TL107.5.png","188","test",",","image-keyboard-response","74","96827","0.0-3.0-1.35","true"
"834","ImagesDirect/VL102.5.png","188","test",",","image-keyboard-response","76","98163","0.0-3.0-1.36","true"
"3178","ImagesDirect/VR95.png","188","test",",","image-keyboard-response","78","101843","0.0-3.0-1.37","true"
"1746","ImagesSoccer/VL97.5.png","190","test",".","image-keyboard-response","80","104091","0.0-3.0-1.38","true"
"753","ImagesTennis/TL92.5.png","190","test",".","image-keyboard-response","82","105347","0.0-3.0-1.39","true"
"921","ImagesDirect/VR105.png","190","test",".","image-keyboard-response","84","106771","0.0-3.0-1.40","true"
"1218","ImagesSoccer/VR92.5.png","188","test",",","image-keyboard-response","86","108492","0.0-3.0-1.41","true"
"1057","ImagesDirect/VL95.png","190","test",".","image-keyboard-response","88","110051","0.0-3.0-1.42","true"
"1755","ImagesSoccer/VL100.png","190","test",".","image-keyboard-response","90","112311","0.0-3.0-1.43","true"
"1314","ImagesTennis/TL100.png","190","test",".","image-keyboard-response","92","114127","0.0-3.0-1.44","true"
"850","ImagesTennis/TR90.png","188","test",",","image-keyboard-response","94","115479","0.0-3.0-1.45","true"
"822","ImagesSoccer/VL90.png","190","test",".","image-keyboard-response","96","116803","0.0-3.0-1.46","true"
