rt;stimulus;key_press;test_part;correct_response;trial_type;trial_index;time_elapsed;internal_node_id;correct
9400;ImagesCoins/10L102.5.png;188;test;,;image-keyboard-response;4;33971;0.0-3.0-1.0;true
4833;ImagesCoins/10L100.png;188;test;.;image-keyboard-response;6;39310;0.0-3.0-1.1;false
4225;ImagesCoins/10L110.png;188;test;,;image-keyboard-response;8;44041;0.0-3.0-1.2;true
4784;ImagesCoins/10L97.5.png;190;test;.;image-keyboard-response;10;49332;0.0-3.0-1.3;true
4299;ImagesCoins/10R90.png;188;test;,;image-keyboard-response;12;54137;0.0-3.0-1.4;true
2106;ImagesCoins/10R110.png;190;test;.;image-keyboard-response;14;56751;0.0-3.0-1.5;true
1978;ImagesCoins/10R107.5.png;190;test;.;image-keyboard-response;16;59233;0.0-3.0-1.6;true
15237;ImagesCoins/10R97.5.png;188;test;,;image-keyboard-response;18;74976;0.0-3.0-1.7;true
3223;ImagesCoins/10L107.5.png;188;test;,;image-keyboard-response;20;78704;0.0-3.0-1.8;true
18074;ImagesCoins/10R100.png;190;test;.;image-keyboard-response;22;97285;0.0-3.0-1.9;true
3396;ImagesCoins/10R95.png;188;test;,;image-keyboard-response;24;101187;0.0-3.0-1.10;true
12173;ImagesCoins/10L95.png;190;test;.;image-keyboard-response;26;113863;0.0-3.0-1.11;true
1792;ImagesCoins/10L92.5.png;190;test;.;image-keyboard-response;28;116161;0.0-3.0-1.12;true
2064;ImagesCoins/10R92.5.png;188;test;,;image-keyboard-response;30;118731;0.0-3.0-1.13;true
2495;ImagesCoins/10L90.png;190;test;.;image-keyboard-response;32;121734;0.0-3.0-1.14;true
2165;ImagesCoins/10R102.5.png;190;test;.;image-keyboard-response;34;124407;0.0-3.0-1.15;true
2131;ImagesCoins/10L105.png;188;test;,;image-keyboard-response;36;127045;0.0-3.0-1.16;true
1499;ImagesCoins/10R105.png;190;test;.;image-keyboard-response;38;129050;0.0-3.0-1.17;true
1483;ImagesCoins/10L107.5.png;188;test;,;image-keyboard-response;40;131038;0.0-3.0-1.18;true
3861;ImagesCoins/10L100.png;188;test;.;image-keyboard-response;42;135406;0.0-3.0-1.19;false
1373;ImagesCoins/10L110.png;188;test;,;image-keyboard-response;44;137285;0.0-3.0-1.20;true
1474;ImagesCoins/10L90.png;190;test;.;image-keyboard-response;46;139265;0.0-3.0-1.21;true
1370;ImagesCoins/10R105.png;190;test;.;image-keyboard-response;48;141140;0.0-3.0-1.22;true
2393;ImagesCoins/10L105.png;188;test;,;image-keyboard-response;50;144038;0.0-3.0-1.23;true
1503;ImagesCoins/10R110.png;190;test;.;image-keyboard-response;52;146050;0.0-3.0-1.24;true
1847;ImagesCoins/10L92.5.png;190;test;.;image-keyboard-response;54;148403;0.0-3.0-1.25;true
4604;ImagesCoins/10R100.png;190;test;.;image-keyboard-response;56;153513;0.0-3.0-1.26;true
4394;ImagesCoins/10L97.5.png;190;test;.;image-keyboard-response;58;158414;0.0-3.0-1.27;true
3014;ImagesCoins/10R95.png;188;test;,;image-keyboard-response;60;161934;0.0-3.0-1.28;true
1990;ImagesCoins/10R107.5.png;190;test;.;image-keyboard-response;62;164440;0.0-3.0-1.29;true
7732;ImagesCoins/10R92.5.png;188;test;,;image-keyboard-response;64;172680;0.0-3.0-1.30;true
