"rt","stimulus","key_press","test_part","correct_response","trial_type","trial_index","time_elapsed","internal_node_id","correct"
"6159","ImagesCoins/10L97.5.png","188","test",".","image-keyboard-response","4","54539","0.0-3.0-1.0","false"
"9976","ImagesCoins/10R105.png","188","test",".","image-keyboard-response","6","65034","0.0-3.0-1.1","false"
"1369","ImagesCoins/10L105.png","188","test",",","image-keyboard-response","8","66908","0.0-3.0-1.2","true"
"894","ImagesCoins/10L95.png","190","test",".","image-keyboard-response","10","68306","0.0-3.0-1.3","true"
"965","ImagesCoins/10R110.png","190","test",".","image-keyboard-response","12","69781","0.0-3.0-1.4","true"
"1213","ImagesCoins/10L100.png","188","test",".","image-keyboard-response","14","71505","0.0-3.0-1.5","false"
"781","ImagesCoins/10R100.png","190","test",".","image-keyboard-response","16","72800","0.0-3.0-1.6","true"
"1230","ImagesCoins/10R97.5.png","188","test",",","image-keyboard-response","18","74544","0.0-3.0-1.7","true"
"912","ImagesCoins/10R92.5.png","188","test",",","image-keyboard-response","20","75962","0.0-3.0-1.8","true"
"959","ImagesCoins/10L102.5.png","188","test",",","image-keyboard-response","22","77443","0.0-3.0-1.9","true"
"1253","ImagesCoins/10R90.png","188","test",",","image-keyboard-response","24","79204","0.0-3.0-1.10","true"
"1067","ImagesCoins/10R95.png","188","test",",","image-keyboard-response","26","80792","0.0-3.0-1.11","true"
"3043","ImagesCoins/10L92.5.png","190","test",".","image-keyboard-response","28","84341","0.0-3.0-1.12","true"
"13980","ImagesCoins/10R102.5.png","190","test",".","image-keyboard-response","30","98827","0.0-3.0-1.13","true"
"1603","ImagesCoins/10L110.png","188","test",",","image-keyboard-response","32","100947","0.0-3.0-1.14","true"
"1352","ImagesCoins/10L90.png","190","test",".","image-keyboard-response","34","102812","0.0-3.0-1.15","true"
"769","ImagesCoins/10L107.5.png","188","test",",","image-keyboard-response","36","104086","0.0-3.0-1.16","true"
"1593","ImagesCoins/10R107.5.png","190","test",".","image-keyboard-response","38","106196","0.0-3.0-1.17","true"
"1299","ImagesCoins/10L90.png","190","test",".","image-keyboard-response","40","108003","0.0-3.0-1.18","true"
"2292","ImagesCoins/10R105.png","190","test",".","image-keyboard-response","42","110809","0.0-3.0-1.19","true"
"1070","ImagesCoins/10L110.png","188","test",",","image-keyboard-response","44","112385","0.0-3.0-1.20","true"
"3653","ImagesCoins/10R102.5.png","190","test",".","image-keyboard-response","46","116560","0.0-3.0-1.21","true"
"1314","ImagesCoins/10R90.png","188","test",",","image-keyboard-response","48","118381","0.0-3.0-1.22","true"
"910","ImagesCoins/10R95.png","188","test",",","image-keyboard-response","50","119805","0.0-3.0-1.23","true"
"1192","ImagesCoins/10R92.5.png","188","test",",","image-keyboard-response","52","121510","0.0-3.0-1.24","true"
"702","ImagesCoins/10R107.5.png","190","test",".","image-keyboard-response","54","122716","0.0-3.0-1.25","true"
"746","ImagesCoins/10L107.5.png","188","test",",","image-keyboard-response","56","123968","0.0-3.0-1.26","true"
"2296","ImagesCoins/10R97.5.png","188","test",",","image-keyboard-response","58","126773","0.0-3.0-1.27","true"
"3400","ImagesCoins/10L92.5.png","190","test",".","image-keyboard-response","60","130679","0.0-3.0-1.28","true"
"2272","ImagesCoins/10L95.png","190","test",".","image-keyboard-response","62","133458","0.0-3.0-1.29","true"
"646","ImagesCoins/10R110.png","190","test",".","image-keyboard-response","64","134618","0.0-3.0-1.30","true"
"3213","ImagesCoins/10R100.png","190","test",".","image-keyboard-response","66","138338","0.0-3.0-1.31","true"
"2925","ImagesCoins/10L100.png","188","test",".","image-keyboard-response","68","141778","0.0-3.0-1.32","false"
"968","ImagesCoins/10L105.png","188","test",",","image-keyboard-response","70","143258","0.0-3.0-1.33","true"
"1698","ImagesCoins/10L102.5.png","188","test",",","image-keyboard-response","72","145481","0.0-3.0-1.34","true"
"9945","ImagesCoins/10L97.5.png","190","test",".","image-keyboard-response","74","155937","0.0-3.0-1.35","true"
"2289","ImagesCoins/10R95.png","188","test",",","image-keyboard-response","76","158734","0.0-3.0-1.36","true"
"1016","ImagesCoins/10R107.5.png","190","test",".","image-keyboard-response","78","160257","0.0-3.0-1.37","true"
"5701","ImagesCoins/10R97.5.png","190","test",",","image-keyboard-response","80","166461","0.0-3.0-1.38","false"
"2359","ImagesCoins/10L95.png","190","test",".","image-keyboard-response","82","169334","0.0-3.0-1.39","true"
"6820","ImagesCoins/10L97.5.png","190","test",".","image-keyboard-response","84","176668","0.0-3.0-1.40","true"
"1886","ImagesCoins/10R92.5.png","188","test",",","image-keyboard-response","86","179066","0.0-3.0-1.41","true"
"996","ImagesCoins/10R90.png","188","test",",","image-keyboard-response","88","180569","0.0-3.0-1.42","true"
"1810","ImagesCoins/10L105.png","188","test",",","image-keyboard-response","90","182883","0.0-3.0-1.43","true"
"715","ImagesCoins/10R105.png","190","test",".","image-keyboard-response","92","184110","0.0-3.0-1.44","true"
"1182","ImagesCoins/10L107.5.png","188","test",",","image-keyboard-response","94","185807","0.0-3.0-1.45","true"
"3464","ImagesCoins/10R100.png","190","test",".","image-keyboard-response","96","189775","0.0-3.0-1.46","true"
"10762","ImagesCoins/10L100.png","190","test",".","image-keyboard-response","98","201042","0.0-3.0-1.47","true"
"1556","ImagesCoins/10L102.5.png","188","test",",","image-keyboard-response","100","203104","0.0-3.0-1.48","true"
"716","ImagesCoins/10R110.png","190","test",".","image-keyboard-response","102","204331","0.0-3.0-1.49","true"
"3263","ImagesCoins/10R102.5.png","190","test",".","image-keyboard-response","104","208112","0.0-3.0-1.50","true"
"1357","ImagesCoins/10L92.5.png","190","test",".","image-keyboard-response","106","209983","0.0-3.0-1.51","true"
"878","ImagesCoins/10L110.png","188","test",",","image-keyboard-response","108","211368","0.0-3.0-1.52","true"
"1502","ImagesCoins/10L90.png","190","test",".","image-keyboard-response","110","213381","0.0-3.0-1.53","true"
"3258","ImagesCoins/10L95.png","190","test",".","image-keyboard-response","112","217143","0.0-3.0-1.54","true"
"804","ImagesCoins/10L105.png","188","test",",","image-keyboard-response","114","218460","0.0-3.0-1.55","true"
"1277","ImagesCoins/10L92.5.png","190","test",".","image-keyboard-response","116","220241","0.0-3.0-1.56","true"
"918","ImagesCoins/10L110.png","188","test",",","image-keyboard-response","118","221663","0.0-3.0-1.57","true"
"8306","ImagesCoins/10L97.5.png","190","test",".","image-keyboard-response","120","230484","0.0-3.0-1.58","true"
"1722","ImagesCoins/10R100.png","190","test",".","image-keyboard-response","122","232711","0.0-3.0-1.59","true"
"1260","ImagesCoins/10R107.5.png","190","test",".","image-keyboard-response","124","234476","0.0-3.0-1.60","true"
"1232","ImagesCoins/10R105.png","190","test",".","image-keyboard-response","126","236214","0.0-3.0-1.61","true"
"1330","ImagesCoins/10R92.5.png","188","test",",","image-keyboard-response","128","238064","0.0-3.0-1.62","true"
"3464","ImagesCoins/10R102.5.png","190","test",".","image-keyboard-response","130","242033","0.0-3.0-1.63","true"
"741","ImagesCoins/10L90.png","190","test",".","image-keyboard-response","132","243287","0.0-3.0-1.64","true"
"4033","ImagesCoins/10R97.5.png","190","test",",","image-keyboard-response","134","247834","0.0-3.0-1.65","false"
"1459","ImagesCoins/10L107.5.png","188","test",",","image-keyboard-response","136","249800","0.0-3.0-1.66","true"
"10306","ImagesCoins/10L100.png","190","test",".","image-keyboard-response","138","260613","0.0-3.0-1.67","true"
"639","ImagesCoins/10R110.png","190","test",".","image-keyboard-response","140","261771","0.0-3.0-1.68","true"
"1003","ImagesCoins/10R90.png","188","test",",","image-keyboard-response","142","263293","0.0-3.0-1.69","true"
"13431","ImagesCoins/10R95.png","188","test",",","image-keyboard-response","144","277227","0.0-3.0-1.70","true"
"3046","ImagesCoins/10L102.5.png","188","test",",","image-keyboard-response","146","280782","0.0-3.0-1.71","true"
"1264","ImagesCoins/10R110.png","190","test",".","image-keyboard-response","148","282552","0.0-3.0-1.72","true"
"11309","ImagesCoins/10L100.png","188","test",".","image-keyboard-response","150","294368","0.0-3.0-1.73","false"
"20682","ImagesCoins/10L102.5.png","188","test",",","image-keyboard-response","152","315565","0.0-3.0-1.74","true"
"2904","ImagesCoins/10R102.5.png","190","test",".","image-keyboard-response","154","318972","0.0-3.0-1.75","true"
"1726","ImagesCoins/10R107.5.png","190","test",".","image-keyboard-response","156","321207","0.0-3.0-1.76","true"
"3014","ImagesCoins/10L95.png","190","test",".","image-keyboard-response","158","324726","0.0-3.0-1.77","true"
"4565","ImagesCoins/10R97.5.png","188","test",",","image-keyboard-response","160","329794","0.0-3.0-1.78","true"
"1997","ImagesCoins/10R92.5.png","188","test",",","image-keyboard-response","162","332310","0.0-3.0-1.79","true"
"8475","ImagesCoins/10R100.png","190","test",".","image-keyboard-response","164","341290","0.0-3.0-1.80","true"
"874","ImagesCoins/10L90.png","190","test",".","image-keyboard-response","166","342670","0.0-3.0-1.81","true"
"824","ImagesCoins/10L110.png","188","test",",","image-keyboard-response","168","344008","0.0-3.0-1.82","true"
"2161","ImagesCoins/10L105.png","188","test",",","image-keyboard-response","170","346685","0.0-3.0-1.83","true"
"5470","ImagesCoins/10L97.5.png","190","test",".","image-keyboard-response","172","352663","0.0-3.0-1.84","true"
"1247","ImagesCoins/10R90.png","188","test",",","image-keyboard-response","174","354416","0.0-3.0-1.85","true"
"888","ImagesCoins/10R105.png","190","test",".","image-keyboard-response","176","355826","0.0-3.0-1.86","true"
"18461","ImagesCoins/10R95.png","188","test",",","image-keyboard-response","178","374791","0.0-3.0-1.87","true"
"998","ImagesCoins/10L107.5.png","188","test",",","image-keyboard-response","180","376295","0.0-3.0-1.88","true"
"1797","ImagesCoins/10L92.5.png","190","test",".","image-keyboard-response","182","378608","0.0-3.0-1.89","true"
"2561","ImagesDirect/VR107.5.png","190","test",".","image-keyboard-response","184","381674","0.0-4.0-1.0","true"
"2867","ImagesTennis/TR105.png","190","test",".","image-keyboard-response","186","385048","0.0-4.0-1.1","true"
"2170","ImagesSoccer/VR95.png","188","test",",","image-keyboard-response","188","387734","0.0-4.0-1.2","true"
"1244","ImagesSoccer/VL100.png","188","test",".","image-keyboard-response","190","389481","0.0-4.0-1.3","false"
"923","ImagesSoccer/VR110.png","190","test",".","image-keyboard-response","192","390910","0.0-4.0-1.4","true"
"1303","ImagesDirect/VL105.png","188","test",",","image-keyboard-response","194","392725","0.0-4.0-1.5","true"
"2853","ImagesSoccer/VL95.png","188","test",".","image-keyboard-response","196","396081","0.0-4.0-1.6","false"
"3126","ImagesSoccer/VL92.5.png","190","test",".","image-keyboard-response","198","399712","0.0-4.0-1.7","true"
"2500","ImagesSoccer/VL97.5.png","188","test",".","image-keyboard-response","200","402719","0.0-4.0-1.8","false"
"1388","ImagesTennis/TR92.5.png","188","test",",","image-keyboard-response","202","404615","0.0-4.0-1.9","true"
"2023","ImagesSoccer/VL102.5.png","188","test",",","image-keyboard-response","204","407142","0.0-4.0-1.10","true"
"4556","ImagesSoccer/VR97.5.png","188","test",",","image-keyboard-response","206","412202","0.0-4.0-1.11","true"
"1046","ImagesDirect/VR110.png","190","test",".","image-keyboard-response","208","413761","0.0-4.0-1.12","true"
"1083","ImagesDirect/VR105.png","190","test",".","image-keyboard-response","210","415349","0.0-4.0-1.13","true"
"1100","ImagesTennis/TR90.png","188","test",",","image-keyboard-response","212","416960","0.0-4.0-1.14","true"
"1324","ImagesTennis/TL90.png","190","test",".","image-keyboard-response","214","418801","0.0-4.0-1.15","true"
"3680","ImagesDirect/VL95.png","190","test",".","image-keyboard-response","216","422984","0.0-4.0-1.16","true"
"1391","ImagesSoccer/VR102.5.png","190","test",".","image-keyboard-response","218","424891","0.0-4.0-1.17","true"
"3360","ImagesDirect/VR95.png","190","test",",","image-keyboard-response","220","428763","0.0-4.0-1.18","false"
"841","ImagesDirect/VL100.png","188","test",".","image-keyboard-response","222","430121","0.0-4.0-1.19","false"
"946","ImagesSoccer/VL90.png","190","test",".","image-keyboard-response","224","431572","0.0-4.0-1.20","true"
"3088","ImagesDirect/VL97.5.png","188","test",".","image-keyboard-response","226","435164","0.0-4.0-1.21","false"
"1164","ImagesDirect/VL92.5.png","190","test",".","image-keyboard-response","228","436848","0.0-4.0-1.22","true"
"857","ImagesDirect/VL102.5.png","188","test",",","image-keyboard-response","230","438209","0.0-4.0-1.23","true"
"1076","ImagesSoccer/VL105.png","188","test",",","image-keyboard-response","232","439790","0.0-4.0-1.24","true"
"1435","ImagesSoccer/VR92.5.png","188","test",",","image-keyboard-response","234","441731","0.0-4.0-1.25","true"
"2037","ImagesTennis/TR107.5.png","190","test",".","image-keyboard-response","236","444277","0.0-4.0-1.26","true"
"3784","ImagesDirect/VR97.5.png","190","test",",","image-keyboard-response","238","448569","0.0-4.0-1.27","false"
"1317","ImagesDirect/VR102.5.png","190","test",".","image-keyboard-response","240","450393","0.0-4.0-1.28","true"
"3649","ImagesTennis/TR102.5.png","190","test",".","image-keyboard-response","242","454554","0.0-4.0-1.29","true"
"841","ImagesTennis/TR97.5.png","188","test",",","image-keyboard-response","244","455902","0.0-4.0-1.30","true"
"701","ImagesDirect/VL110.png","188","test",",","image-keyboard-response","246","457110","0.0-4.0-1.31","true"
"1310","ImagesTennis/TL107.5.png","188","test",",","image-keyboard-response","248","458941","0.0-4.0-1.32","true"
"905","ImagesSoccer/VR105.png","190","test",".","image-keyboard-response","250","460366","0.0-4.0-1.33","true"
"3938","ImagesTennis/TL100.png","190","test",".","image-keyboard-response","252","464811","0.0-4.0-1.34","true"
"822","ImagesTennis/TR95.png","188","test",",","image-keyboard-response","254","466139","0.0-4.0-1.35","true"
"1069","ImagesTennis/TL92.5.png","190","test",".","image-keyboard-response","256","467720","0.0-4.0-1.36","true"
"1323","ImagesTennis/TL110.png","188","test",",","image-keyboard-response","258","469553","0.0-4.0-1.37","true"
"1857","ImagesSoccer/VR100.png","190","test",".","image-keyboard-response","260","471929","0.0-4.0-1.38","true"
"1324","ImagesSoccer/VR90.png","188","test",",","image-keyboard-response","262","473763","0.0-4.0-1.39","true"
"1146","ImagesDirect/VR90.png","188","test",",","image-keyboard-response","264","475416","0.0-4.0-1.40","true"
"1014","ImagesTennis/TL105.png","188","test",",","image-keyboard-response","266","476933","0.0-4.0-1.41","true"
"2144","ImagesTennis/TL102.5.png","188","test",",","image-keyboard-response","268","479583","0.0-4.0-1.42","true"
"805","ImagesTennis/TL97.5.png","190","test",".","image-keyboard-response","270","480892","0.0-4.0-1.43","true"
"854","ImagesDirect/VL107.5.png","188","test",",","image-keyboard-response","272","482253","0.0-4.0-1.44","true"
"722","ImagesSoccer/VL110.png","188","test",",","image-keyboard-response","274","483488","0.0-4.0-1.45","true"
"2368","ImagesDirect/VR92.5.png","190","test",",","image-keyboard-response","276","486361","0.0-4.0-1.46","false"
"1315","ImagesDirect/VR100.png","190","test",".","image-keyboard-response","278","488183","0.0-4.0-1.47","true"
"2196","ImagesTennis/TR100.png","188","test",".","image-keyboard-response","280","490884","0.0-4.0-1.48","false"
"948","ImagesTennis/TR110.png","190","test",".","image-keyboard-response","282","492338","0.0-4.0-1.49","true"
"1804","ImagesTennis/TL95.png","190","test",".","image-keyboard-response","284","494663","0.0-4.0-1.50","true"
"3234","ImagesDirect/VL90.png","190","test",".","image-keyboard-response","286","498413","0.0-4.0-1.51","true"
"792","ImagesSoccer/VL107.5.png","188","test",",","image-keyboard-response","288","499717","0.0-4.0-1.52","true"
"1052","ImagesSoccer/VR107.5.png","190","test",".","image-keyboard-response","290","501285","0.0-4.0-1.53","true"
"1202","ImagesTennis/TR105.png","190","test",".","image-keyboard-response","292","502992","0.0-4.0-1.54","true"
"1067","ImagesSoccer/VR102.5.png","190","test",".","image-keyboard-response","294","504564","0.0-4.0-1.55","true"
"1446","ImagesTennis/TL95.png","190","test",".","image-keyboard-response","296","506517","0.0-4.0-1.56","true"
"2657","ImagesDirect/VL90.png","190","test",".","image-keyboard-response","298","509680","0.0-4.0-1.57","true"
"6686","ImagesDirect/VR92.5.png","188","test",",","image-keyboard-response","300","516879","0.0-4.0-1.58","true"
"6717","ImagesDirect/VR95.png","188","test",",","image-keyboard-response","302","524102","0.0-4.0-1.59","true"
"4793","ImagesDirect/VL92.5.png","190","test",".","image-keyboard-response","304","529407","0.0-4.0-1.60","true"
"859","ImagesTennis/TR110.png","190","test",".","image-keyboard-response","306","530772","0.0-4.0-1.61","true"
"1438","ImagesSoccer/VR105.png","190","test",".","image-keyboard-response","308","532714","0.0-4.0-1.62","true"
"768","ImagesDirect/VR107.5.png","190","test",".","image-keyboard-response","310","533986","0.0-4.0-1.63","true"
"5813","ImagesDirect/VR90.png","188","test",",","image-keyboard-response","312","540306","0.0-4.0-1.64","true"
"1092","ImagesTennis/TL107.5.png","188","test",",","image-keyboard-response","314","541907","0.0-4.0-1.65","true"
"780","ImagesSoccer/VL110.png","188","test",",","image-keyboard-response","316","543208","0.0-4.0-1.66","true"
"2371","ImagesSoccer/VR92.5.png","188","test",",","image-keyboard-response","318","546087","0.0-4.0-1.67","true"
"748","ImagesSoccer/VL107.5.png","188","test",",","image-keyboard-response","320","547345","0.0-4.0-1.68","true"
"902","ImagesSoccer/VR110.png","190","test",".","image-keyboard-response","322","548763","0.0-4.0-1.69","true"
"2053","ImagesSoccer/VL90.png","190","test",".","image-keyboard-response","324","551322","0.0-4.0-1.70","true"
"6060","ImagesDirect/VR97.5.png","190","test",",","image-keyboard-response","326","557895","0.0-4.0-1.71","false"
"1405","ImagesDirect/VR100.png","190","test",".","image-keyboard-response","328","559815","0.0-4.0-1.72","true"
"6591","ImagesTennis/TL102.5.png","188","test",",","image-keyboard-response","330","566909","0.0-4.0-1.73","true"
"2327","ImagesSoccer/VR95.png","188","test",",","image-keyboard-response","332","569756","0.0-4.0-1.74","true"
"2073","ImagesDirect/VR110.png","190","test",".","image-keyboard-response","334","572343","0.0-4.0-1.75","true"
"990","ImagesTennis/TL110.png","188","test",",","image-keyboard-response","336","573849","0.0-4.0-1.76","true"
"5325","ImagesSoccer/VR100.png","190","test",".","image-keyboard-response","338","579682","0.0-4.0-1.77","true"
"7250","ImagesTennis/TR102.5.png","190","test",".","image-keyboard-response","340","587449","0.0-4.0-1.78","true"
"1146","ImagesDirect/VR105.png","190","test",".","image-keyboard-response","342","589106","0.0-4.0-1.79","true"
"6353","ImagesDirect/VL97.5.png","190","test",".","image-keyboard-response","344","595972","0.0-4.0-1.80","true"
"1785","ImagesSoccer/VL92.5.png","190","test",".","image-keyboard-response","346","598273","0.0-4.0-1.81","true"
"15111","ImagesSoccer/VL97.5.png","190","test",".","image-keyboard-response","348","613905","0.0-4.0-1.82","true"
"1646","ImagesDirect/VR102.5.png","190","test",".","image-keyboard-response","350","616069","0.0-4.0-1.83","true"
