"rt","stimulus","key_press","test_part","correct_response","trial_type","trial_index","time_elapsed","internal_node_id","correct"
"22557","ImagesTennis/TR105.png","188","test",".","image-keyboard-response","4","65452","0.0-3.0-1.0","false"
"4913","ImagesSoccer/VL97.5.png","188","test",".","image-keyboard-response","6","70870","0.0-3.0-1.1","false"
"2170","ImagesSoccer/VL105.png","188","test",",","image-keyboard-response","8","73546","0.0-3.0-1.2","true"
"1475","ImagesSoccer/VL110.png","188","test",",","image-keyboard-response","10","75526","0.0-3.0-1.3","true"
"1450","ImagesTennis/TL100.png","190","test",".","image-keyboard-response","12","77481","0.0-3.0-1.4","true"
"1441","ImagesSoccer/VR102.5.png","190","test",".","image-keyboard-response","14","79427","0.0-3.0-1.5","true"
"2293","ImagesDirect/VR92.5.png","190","test",",","image-keyboard-response","16","82226","0.0-3.0-1.6","false"
"1654","ImagesTennis/TR97.5.png","188","test",",","image-keyboard-response","18","84383","0.0-3.0-1.7","true"
"1119","ImagesDirect/VL105.png","188","test",",","image-keyboard-response","20","86007","0.0-3.0-1.8","true"
"1007","ImagesDirect/VR105.png","190","test",".","image-keyboard-response","22","87519","0.0-3.0-1.9","true"
"1357","ImagesTennis/TL95.png","190","test",".","image-keyboard-response","24","89381","0.0-3.0-1.10","true"
"960","ImagesDirect/VR110.png","190","test",".","image-keyboard-response","26","90847","0.0-3.0-1.11","true"
"2380","ImagesSoccer/VL95.png","188","test",".","image-keyboard-response","28","93731","0.0-3.0-1.12","false"
"2564","ImagesDirect/VL92.5.png","190","test",".","image-keyboard-response","30","96799","0.0-3.0-1.13","true"
"828","ImagesSoccer/VR100.png","190","test",".","image-keyboard-response","32","98132","0.0-3.0-1.14","true"
"1571","ImagesDirect/VL95.png","190","test",".","image-keyboard-response","34","100208","0.0-3.0-1.15","true"
"1259","ImagesDirect/VR102.5.png","190","test",".","image-keyboard-response","36","101972","0.0-3.0-1.16","true"
"1435","ImagesSoccer/VR92.5.png","190","test",",","image-keyboard-response","38","103912","0.0-3.0-1.17","false"
"1320","ImagesDirect/VL90.png","190","test",".","image-keyboard-response","40","105737","0.0-3.0-1.18","true"
"3339","ImagesSoccer/VR97.5.png","190","test",",","image-keyboard-response","42","109581","0.0-3.0-1.19","false"
"2718","ImagesTennis/TR95.png","188","test",",","image-keyboard-response","44","112803","0.0-3.0-1.20","true"
"1198","ImagesTennis/TR90.png","188","test",",","image-keyboard-response","46","114507","0.0-3.0-1.21","true"
"3843","ImagesDirect/VR90.png","188","test",",","image-keyboard-response","48","118855","0.0-3.0-1.22","true"
"1832","ImagesTennis/TL105.png","188","test",",","image-keyboard-response","50","121192","0.0-3.0-1.23","true"
"1111","ImagesSoccer/VR105.png","190","test",".","image-keyboard-response","52","122808","0.0-3.0-1.24","true"
"1004","ImagesTennis/TR110.png","190","test",".","image-keyboard-response","54","124316","0.0-3.0-1.25","true"
"923","ImagesDirect/VR107.5.png","190","test",".","image-keyboard-response","56","125745","0.0-3.0-1.26","true"
"1156","ImagesSoccer/VL102.5.png","188","test",",","image-keyboard-response","58","127406","0.0-3.0-1.27","true"
"1034","ImagesDirect/VL110.png","188","test",",","image-keyboard-response","60","128945","0.0-3.0-1.28","true"
"749","ImagesDirect/VR100.png","190","test",".","image-keyboard-response","62","130199","0.0-3.0-1.29","true"
"1144","ImagesDirect/VR95.png","190","test",",","image-keyboard-response","64","131848","0.0-3.0-1.30","false"
"795","ImagesSoccer/VR90.png","190","test",",","image-keyboard-response","66","133148","0.0-3.0-1.31","false"
"752","ImagesSoccer/VL107.5.png","188","test",",","image-keyboard-response","68","134405","0.0-3.0-1.32","true"
"776","ImagesDirect/VR97.5.png","190","test",",","image-keyboard-response","70","135686","0.0-3.0-1.33","false"
"1352","ImagesTennis/TL90.png","190","test",".","image-keyboard-response","72","137543","0.0-3.0-1.34","true"
"3470","ImagesSoccer/VL90.png","190","test",".","image-keyboard-response","74","141518","0.0-3.0-1.35","true"
"761","ImagesSoccer/VR107.5.png","190","test",".","image-keyboard-response","76","142785","0.0-3.0-1.36","true"
"1856","ImagesDirect/VL97.5.png","188","test",".","image-keyboard-response","78","145146","0.0-3.0-1.37","false"
"2498","ImagesTennis/TL102.5.png","188","test",",","image-keyboard-response","80","148148","0.0-3.0-1.38","true"
"946","ImagesTennis/TL110.png","188","test",",","image-keyboard-response","82","149600","0.0-3.0-1.39","true"
"975","ImagesSoccer/VR95.png","190","test",",","image-keyboard-response","84","151080","0.0-3.0-1.40","false"
"939","ImagesDirect/VL107.5.png","188","test",",","image-keyboard-response","86","152523","0.0-3.0-1.41","true"
"1086","ImagesTennis/TR92.5.png","188","test",",","image-keyboard-response","88","154115","0.0-3.0-1.42","true"
"1106","ImagesSoccer/VL100.png","188","test",".","image-keyboard-response","90","155726","0.0-3.0-1.43","false"
"1275","ImagesTennis/TL97.5.png","190","test",".","image-keyboard-response","92","157505","0.0-3.0-1.44","true"
"1466","ImagesTennis/TR100.png","190","test",".","image-keyboard-response","94","159477","0.0-3.0-1.45","true"
"762","ImagesSoccer/VR110.png","190","test",".","image-keyboard-response","96","160744","0.0-3.0-1.46","true"
"1831","ImagesTennis/TR107.5.png","190","test",".","image-keyboard-response","98","163081","0.0-3.0-1.47","true"
"730","ImagesDirect/VL102.5.png","188","test",",","image-keyboard-response","100","164315","0.0-3.0-1.48","true"
"1321","ImagesTennis/TL92.5.png","190","test",".","image-keyboard-response","102","166141","0.0-3.0-1.49","true"
"1274","ImagesSoccer/VL92.5.png","190","test",".","image-keyboard-response","104","167920","0.0-3.0-1.50","true"
"809","ImagesTennis/TL107.5.png","188","test",",","image-keyboard-response","106","169234","0.0-3.0-1.51","true"
"1749","ImagesTennis/TR102.5.png","190","test",".","image-keyboard-response","108","171487","0.0-3.0-1.52","true"
"1362","ImagesDirect/VL100.png","188","test",".","image-keyboard-response","110","173354","0.0-3.0-1.53","false"
"875","ImagesSoccer/VR90.png","190","test",",","image-keyboard-response","112","174734","0.0-3.0-1.54","false"
"911","ImagesSoccer/VR102.5.png","190","test",".","image-keyboard-response","114","176149","0.0-3.0-1.55","true"
"803","ImagesTennis/TL95.png","188","test",".","image-keyboard-response","116","177457","0.0-3.0-1.56","false"
"806","ImagesSoccer/VL92.5.png","188","test",".","image-keyboard-response","118","178768","0.0-3.0-1.57","false"
"819","ImagesTennis/TL110.png","188","test",",","image-keyboard-response","120","180091","0.0-3.0-1.58","true"
"883","ImagesSoccer/VL107.5.png","188","test",",","image-keyboard-response","122","181478","0.0-3.0-1.59","true"
"850","ImagesDirect/VR107.5.png","190","test",".","image-keyboard-response","124","182833","0.0-3.0-1.60","true"
"943","ImagesTennis/TL92.5.png","188","test",".","image-keyboard-response","126","184281","0.0-3.0-1.61","false"
"1345","ImagesTennis/TL90.png","188","test",".","image-keyboard-response","128","186131","0.0-3.0-1.62","false"
"755","ImagesDirect/VL102.5.png","188","test",",","image-keyboard-response","130","187390","0.0-3.0-1.63","true"
"715","ImagesTennis/TL100.png","188","test",".","image-keyboard-response","132","188609","0.0-3.0-1.64","false"
"1108","ImagesSoccer/VR100.png","190","test",".","image-keyboard-response","134","190221","0.0-3.0-1.65","true"
"1023","ImagesDirect/VR105.png","190","test",".","image-keyboard-response","136","191748","0.0-3.0-1.66","true"
"1341","ImagesDirect/VR97.5.png","190","test",",","image-keyboard-response","138","193594","0.0-3.0-1.67","false"
"726","ImagesTennis/TR107.5.png","190","test",".","image-keyboard-response","140","194824","0.0-3.0-1.68","true"
"4221","ImagesDirect/VR92.5.png","190","test",",","image-keyboard-response","142","199549","0.0-3.0-1.69","false"
"813","ImagesTennis/TR105.png","190","test",".","image-keyboard-response","144","200867","0.0-3.0-1.70","true"
"724","ImagesDirect/VR102.5.png","190","test",".","image-keyboard-response","146","202095","0.0-3.0-1.71","true"
"683","ImagesTennis/TL102.5.png","188","test",",","image-keyboard-response","148","203282","0.0-3.0-1.72","true"
"693","ImagesDirect/VL107.5.png","188","test",",","image-keyboard-response","150","204479","0.0-3.0-1.73","true"
"898","ImagesDirect/VL105.png","188","test",",","image-keyboard-response","152","205881","0.0-3.0-1.74","true"
"728","ImagesDirect/VL100.png","188","test",".","image-keyboard-response","154","207114","0.0-3.0-1.75","false"
"660","ImagesTennis/TL107.5.png","188","test",",","image-keyboard-response","156","208279","0.0-3.0-1.76","true"
"642","ImagesTennis/TR90.png","190","test",",","image-keyboard-response","158","209426","0.0-3.0-1.77","false"
"783","ImagesTennis/TR100.png","190","test",".","image-keyboard-response","160","210714","0.0-3.0-1.78","true"
"1006","ImagesTennis/TL97.5.png","190","test",".","image-keyboard-response","162","212224","0.0-3.0-1.79","true"
"807","ImagesSoccer/VL102.5.png","188","test",",","image-keyboard-response","164","213535","0.0-3.0-1.80","true"
"2435","ImagesSoccer/VR92.5.png","188","test",",","image-keyboard-response","166","216475","0.0-3.0-1.81","true"
"722","ImagesTennis/TR110.png","190","test",".","image-keyboard-response","168","217701","0.0-3.0-1.82","true"
"3047","ImagesDirect/VL92.5.png","188","test",".","image-keyboard-response","170","221253","0.0-3.0-1.83","false"
"728","ImagesDirect/VL110.png","188","test",",","image-keyboard-response","172","222486","0.0-3.0-1.84","true"
"177","ImagesTennis/TR95.png","190","test",",","image-keyboard-response","174","223168","0.0-3.0-1.85","false"
"867","ImagesSoccer/VR107.5.png","190","test",".","image-keyboard-response","176","224540","0.0-3.0-1.86","true"
"534","ImagesSoccer/VR97.5.png","190","test",",","image-keyboard-response","178","225578","0.0-3.0-1.87","false"
"596","ImagesSoccer/VR105.png","190","test",".","image-keyboard-response","180","226679","0.0-3.0-1.88","true"
"1748","ImagesSoccer/VR95.png","190","test",",","image-keyboard-response","182","228932","0.0-3.0-1.89","false"
"876","ImagesSoccer/VL90.png","190","test",".","image-keyboard-response","184","230313","0.0-3.0-1.90","true"
"1115","ImagesDirect/VR100.png","190","test",".","image-keyboard-response","186","231934","0.0-3.0-1.91","true"
"2037","ImagesTennis/TL105.png","188","test",",","image-keyboard-response","188","234475","0.0-3.0-1.92","true"
"1275","ImagesSoccer/VL97.5.png","188","test",".","image-keyboard-response","190","236255","0.0-3.0-1.93","false"
"723","ImagesSoccer/VL110.png","188","test",",","image-keyboard-response","192","237483","0.0-3.0-1.94","true"
"787","ImagesSoccer/VL105.png","188","test",",","image-keyboard-response","194","238775","0.0-3.0-1.95","true"
"765","ImagesTennis/TR102.5.png","190","test",".","image-keyboard-response","196","240044","0.0-3.0-1.96","true"
"1019","ImagesSoccer/VL95.png","190","test",".","image-keyboard-response","198","241568","0.0-3.0-1.97","true"
"1334","ImagesSoccer/VL100.png","188","test",".","image-keyboard-response","200","243407","0.0-3.0-1.98","false"
"1965","ImagesTennis/TR97.5.png","188","test",",","image-keyboard-response","202","245877","0.0-3.0-1.99","true"
"1519","ImagesDirect/VL95.png","188","test",".","image-keyboard-response","204","247901","0.0-3.0-1.100","false"
"3122","ImagesDirect/VL90.png","190","test",".","image-keyboard-response","206","251528","0.0-3.0-1.101","true"
"1074","ImagesTennis/TR92.5.png","188","test",",","image-keyboard-response","208","253107","0.0-3.0-1.102","true"
"904","ImagesSoccer/VR110.png","190","test",".","image-keyboard-response","210","254516","0.0-3.0-1.103","true"
"1121","ImagesDirect/VL97.5.png","190","test",".","image-keyboard-response","212","256142","0.0-3.0-1.104","true"
"2138","ImagesDirect/VR95.png","190","test",",","image-keyboard-response","214","258785","0.0-3.0-1.105","false"
"930","ImagesDirect/VR110.png","190","test",".","image-keyboard-response","216","260220","0.0-3.0-1.106","true"
"769","ImagesDirect/VR90.png","188","test",",","image-keyboard-response","218","261494","0.0-3.0-1.107","true"
"935","ImagesTennis/TR100.png","190","test",".","image-keyboard-response","220","262934","0.0-3.0-1.108","true"
"1320","ImagesTennis/TL92.5.png","190","test",".","image-keyboard-response","222","264759","0.0-3.0-1.109","true"
"863","ImagesTennis/TR92.5.png","188","test",",","image-keyboard-response","224","266126","0.0-3.0-1.110","true"
"1008","ImagesTennis/TL107.5.png","188","test",",","image-keyboard-response","226","267639","0.0-3.0-1.111","true"
