"rt","stimulus","key_press","test_part","correct_response","trial_type","trial_index","time_elapsed","internal_node_id","correct"
"1617","ImagesCoins/10L100.png","190","test",".","image-keyboard-response","4","24625","0.0-3.0-1.0","true"
"1473","ImagesCoins/10L95.png","190","test",".","image-keyboard-response","6","26602","0.0-3.0-1.1","true"
"1481","ImagesCoins/10L92.5.png","190","test",".","image-keyboard-response","8","28586","0.0-3.0-1.2","true"
"999","ImagesCoins/10L97.5.png","190","test",".","image-keyboard-response","10","30088","0.0-3.0-1.3","true"
"923","ImagesCoins/10L107.5.png","190","test",",","image-keyboard-response","12","31515","0.0-3.0-1.4","false"
"1615","ImagesCoins/10R107.5.png","188","test",".","image-keyboard-response","14","33633","0.0-3.0-1.5","false"
"1021","ImagesCoins/10L90.png","190","test",".","image-keyboard-response","16","35158","0.0-3.0-1.6","true"
"2284","ImagesCoins/10R97.5.png","190","test",",","image-keyboard-response","18","37945","0.0-3.0-1.7","false"
"1288","ImagesCoins/10L102.5.png","188","test",",","image-keyboard-response","20","39737","0.0-3.0-1.8","true"
"926","ImagesCoins/10R110.png","190","test",".","image-keyboard-response","22","41166","0.0-3.0-1.9","true"
"771","ImagesCoins/10R102.5.png","190","test",".","image-keyboard-response","24","42441","0.0-3.0-1.10","true"
"1390","ImagesCoins/10R105.png","190","test",".","image-keyboard-response","26","44334","0.0-3.0-1.11","true"
"1180","ImagesCoins/10R90.png","188","test",",","image-keyboard-response","28","46017","0.0-3.0-1.12","true"
"1125","ImagesCoins/10R92.5.png","188","test",",","image-keyboard-response","30","47646","0.0-3.0-1.13","true"
"1077","ImagesCoins/10L105.png","188","test",",","image-keyboard-response","32","49226","0.0-3.0-1.14","true"
"1137","ImagesCoins/10R100.png","190","test",".","image-keyboard-response","34","50866","0.0-3.0-1.15","true"
"864","ImagesCoins/10L110.png","188","test",",","image-keyboard-response","36","52235","0.0-3.0-1.16","true"
"1821","ImagesCoins/10R95.png","188","test",",","image-keyboard-response","38","54560","0.0-3.0-1.17","true"
"945","ImagesCoins/10R90.png","188","test",",","image-keyboard-response","40","56009","0.0-3.0-1.18","true"
"1492","ImagesCoins/10R95.png","188","test",",","image-keyboard-response","42","58005","0.0-3.0-1.19","true"
"1201","ImagesCoins/10R105.png","190","test",".","image-keyboard-response","44","59708","0.0-3.0-1.20","true"
"1958","ImagesCoins/10L90.png","190","test",".","image-keyboard-response","46","62169","0.0-3.0-1.21","true"
"1163","ImagesCoins/10L107.5.png","188","test",",","image-keyboard-response","48","63834","0.0-3.0-1.22","true"
"1317","ImagesCoins/10L105.png","188","test",",","image-keyboard-response","50","65653","0.0-3.0-1.23","true"
"2375","ImagesCoins/10L100.png","188","test",".","image-keyboard-response","52","68530","0.0-3.0-1.24","false"
"1257","ImagesCoins/10R97.5.png","190","test",",","image-keyboard-response","54","70290","0.0-3.0-1.25","false"
"927","ImagesCoins/10L92.5.png","190","test",".","image-keyboard-response","56","71720","0.0-3.0-1.26","true"
"710","ImagesCoins/10R110.png","190","test",".","image-keyboard-response","58","72933","0.0-3.0-1.27","true"
"570","ImagesCoins/10R100.png","190","test",".","image-keyboard-response","60","74007","0.0-3.0-1.28","true"
"2143","ImagesCoins/10L102.5.png","188","test",",","image-keyboard-response","62","76652","0.0-3.0-1.29","true"
"750","ImagesCoins/10L95.png","190","test",".","image-keyboard-response","64","77904","0.0-3.0-1.30","true"
"1259","ImagesCoins/10R92.5.png","188","test",",","image-keyboard-response","66","79665","0.0-3.0-1.31","true"
"772","ImagesCoins/10L110.png","188","test",",","image-keyboard-response","68","80939","0.0-3.0-1.32","true"
"541","ImagesCoins/10R102.5.png","190","test",".","image-keyboard-response","70","81983","0.0-3.0-1.33","true"
