"rt","stimulus","key_press","test_part","correct_response","trial_type","trial_index","time_elapsed","internal_node_id","correct"
"2206","ImagesTennis/TR95.png","188","test",",","image-keyboard-response","4","33157","0.0-3.0-1.0","true"
"976","ImagesSoccer/VR105.png","190","test",".","image-keyboard-response","6","34636","0.0-3.0-1.1","true"
"1329","ImagesSoccer/VR97.5.png","190","test",",","image-keyboard-response","8","36468","0.0-3.0-1.2","false"
"1817","ImagesTennis/TL97.5.png","190","test",".","image-keyboard-response","10","38789","0.0-3.0-1.3","true"
"1841","ImagesDirect/VL92.5.png","190","test",".","image-keyboard-response","12","41133","0.0-3.0-1.4","true"
"1529","ImagesSoccer/VR102.5.png","190","test",".","image-keyboard-response","14","43165","0.0-3.0-1.5","true"
"1785","ImagesSoccer/VR90.png","188","test",",","image-keyboard-response","16","45453","0.0-3.0-1.6","true"
"1393","ImagesDirect/VR90.png","188","test",",","image-keyboard-response","18","47349","0.0-3.0-1.7","true"
"1089","ImagesDirect/VL105.png","188","test",",","image-keyboard-response","20","48941","0.0-3.0-1.8","true"
"1375","ImagesSoccer/VR92.5.png","188","test",",","image-keyboard-response","22","50821","0.0-3.0-1.9","true"
"2205","ImagesDirect/VL97.5.png","190","test",".","image-keyboard-response","24","53534","0.0-3.0-1.10","true"
"2329","ImagesDirect/VL95.png","188","test",".","image-keyboard-response","26","56366","0.0-3.0-1.11","false"
"1160","ImagesTennis/TR110.png","190","test",".","image-keyboard-response","28","58030","0.0-3.0-1.12","true"
"2050","ImagesSoccer/VR107.5.png","190","test",".","image-keyboard-response","30","60582","0.0-3.0-1.13","true"
"1337","ImagesTennis/TL90.png","190","test",".","image-keyboard-response","32","62422","0.0-3.0-1.14","true"
"2361","ImagesDirect/VL100.png","188","test",".","image-keyboard-response","34","65286","0.0-3.0-1.15","false"
"1337","ImagesSoccer/VL107.5.png","188","test",",","image-keyboard-response","36","67126","0.0-3.0-1.16","true"
"2082","ImagesTennis/TL102.5.png","190","test",",","image-keyboard-response","38","69710","0.0-3.0-1.17","false"
"2322","ImagesSoccer/VL102.5.png","188","test",",","image-keyboard-response","40","72534","0.0-3.0-1.18","true"
"7597","ImagesSoccer/VL90.png","190","test",".","image-keyboard-response","42","80634","0.0-3.0-1.19","true"
"3474","ImagesSoccer/VL92.5.png","190","test",".","image-keyboard-response","44","84611","0.0-3.0-1.20","true"
"1025","ImagesTennis/TL92.5.png","190","test",".","image-keyboard-response","46","86139","0.0-3.0-1.21","true"
"889","ImagesDirect/VR100.png","190","test",".","image-keyboard-response","48","87531","0.0-3.0-1.22","true"
"634","ImagesSoccer/VL100.png","188","test",".","image-keyboard-response","50","88667","0.0-3.0-1.23","false"
"1161","ImagesSoccer/VR100.png","190","test",".","image-keyboard-response","52","90331","0.0-3.0-1.24","true"
"970","ImagesDirect/VL110.png","188","test",",","image-keyboard-response","54","91803","0.0-3.0-1.25","true"
"1649","ImagesDirect/VR97.5.png","188","test",",","image-keyboard-response","56","93956","0.0-3.0-1.26","true"
"3794","ImagesTennis/TR92.5.png","188","test",",","image-keyboard-response","58","98252","0.0-3.0-1.27","true"
"1650","ImagesDirect/VL102.5.png","188","test",",","image-keyboard-response","60","100404","0.0-3.0-1.28","true"
"673","ImagesDirect/VR95.png","190","test",",","image-keyboard-response","62","101580","0.0-3.0-1.29","false"
"801","ImagesDirect/VL107.5.png","188","test",",","image-keyboard-response","64","102884","0.0-3.0-1.30","true"
"1257","ImagesTennis/TL107.5.png","188","test",",","image-keyboard-response","66","104644","0.0-3.0-1.31","true"
"2753","ImagesSoccer/VL95.png","190","test",".","image-keyboard-response","68","107901","0.0-3.0-1.32","true"
"890","ImagesTennis/TR102.5.png","190","test",".","image-keyboard-response","70","109293","0.0-3.0-1.33","true"
"816","ImagesSoccer/VL97.5.png","188","test",".","image-keyboard-response","72","110613","0.0-3.0-1.34","false"
"1594","ImagesTennis/TR97.5.png","190","test",",","image-keyboard-response","74","112709","0.0-3.0-1.35","false"
"1345","ImagesTennis/TL100.png","190","test",".","image-keyboard-response","76","114557","0.0-3.0-1.36","true"
"689","ImagesDirect/VR110.png","190","test",".","image-keyboard-response","78","115749","0.0-3.0-1.37","true"
"785","ImagesTennis/TL110.png","188","test",",","image-keyboard-response","80","117037","0.0-3.0-1.38","true"
"2290","ImagesTennis/TL105.png","190","test",",","image-keyboard-response","82","119830","0.0-3.0-1.39","false"
"1920","ImagesDirect/VL90.png","190","test",".","image-keyboard-response","84","122253","0.0-3.0-1.40","true"
