"rt","stimulus","key_press","test_part","correct_response","trial_type","trial_index","time_elapsed","internal_node_id","correct"
"11125","ImagesCoins/10R92.5.png","188","test",",","image-keyboard-response","4","109420","0.0-3.0-1.0","true"
"19338","ImagesCoins/10R110.png","188","test",".","image-keyboard-response","6","129262","0.0-3.0-1.1","false"
"4516","ImagesCoins/10R97.5.png","188","test",",","image-keyboard-response","8","134281","0.0-3.0-1.2","true"
"5794","ImagesCoins/10L92.5.png","190","test",".","image-keyboard-response","10","140578","0.0-3.0-1.3","true"
"6530","ImagesCoins/10L97.5.png","190","test",".","image-keyboard-response","12","147611","0.0-3.0-1.4","true"
"57070","ImagesCoins/10R90.png","188","test",",","image-keyboard-response","14","205186","0.0-3.0-1.5","true"
"5420","ImagesCoins/10L105.png","190","test",",","image-keyboard-response","16","211114","0.0-3.0-1.6","false"
"1522","ImagesCoins/10L102.5.png","190","test",",","image-keyboard-response","18","213138","0.0-3.0-1.7","false"
"3428","ImagesCoins/10R102.5.png","188","test",".","image-keyboard-response","20","217067","0.0-3.0-1.8","false"
"1633","ImagesCoins/10R95.png","188","test",",","image-keyboard-response","22","219202","0.0-3.0-1.9","true"
"3835","ImagesCoins/10R105.png","188","test",".","image-keyboard-response","24","223540","0.0-3.0-1.10","false"
"1728","ImagesCoins/10L110.png","190","test",",","image-keyboard-response","26","225771","0.0-3.0-1.11","false"
"4628","ImagesCoins/10R100.png","188","test",".","image-keyboard-response","28","230902","0.0-3.0-1.12","false"
"4059","ImagesCoins/10L100.png","190","test",".","image-keyboard-response","30","235463","0.0-3.0-1.13","true"
"1281","ImagesCoins/10L95.png","190","test",".","image-keyboard-response","32","237247","0.0-3.0-1.14","true"
"18151","ImagesCoins/10R107.5.png","188","test",".","image-keyboard-response","34","255899","0.0-3.0-1.15","false"
"1530","ImagesCoins/10L107.5.png","190","test",",","image-keyboard-response","36","257933","0.0-3.0-1.16","false"
"3697","ImagesCoins/10L90.png","190","test",".","image-keyboard-response","38","262134","0.0-3.0-1.17","true"
"865","ImagesCoins/10L100.png","190","test",".","image-keyboard-response","40","263501","0.0-3.0-1.18","true"
"929","ImagesCoins/10R107.5.png","188","test",".","image-keyboard-response","42","264934","0.0-3.0-1.19","false"
"12204","ImagesCoins/10R110.png","190","test",".","image-keyboard-response","44","277641","0.0-3.0-1.20","true"
"3864","ImagesCoins/10L102.5.png","188","test",",","image-keyboard-response","46","282010","0.0-3.0-1.21","true"
"5530","ImagesCoins/10L95.png","190","test",".","image-keyboard-response","48","288043","0.0-3.0-1.22","true"
"7786","ImagesCoins/10R100.png","190","test",".","image-keyboard-response","50","296332","0.0-3.0-1.23","true"
"1299","ImagesCoins/10R95.png","188","test",",","image-keyboard-response","52","298133","0.0-3.0-1.24","true"
"5930","ImagesCoins/10L97.5.png","190","test",".","image-keyboard-response","54","304567","0.0-3.0-1.25","true"
"2257","ImagesCoins/10L90.png","190","test",".","image-keyboard-response","56","307328","0.0-3.0-1.26","true"
"1354","ImagesCoins/10R90.png","188","test",",","image-keyboard-response","58","309184","0.0-3.0-1.27","true"
"1394","ImagesCoins/10L107.5.png","188","test",",","image-keyboard-response","60","311081","0.0-3.0-1.28","true"
"1105","ImagesCoins/10L110.png","188","test",",","image-keyboard-response","62","312689","0.0-3.0-1.29","true"
"925","ImagesCoins/10L92.5.png","190","test",".","image-keyboard-response","64","314116","0.0-3.0-1.30","true"
"9311","ImagesCoins/10R97.5.png","188","test",",","image-keyboard-response","66","323931","0.0-3.0-1.31","true"
"1112","ImagesCoins/10R92.5.png","188","test",",","image-keyboard-response","68","325548","0.0-3.0-1.32","true"
"935","ImagesCoins/10L105.png","188","test",",","image-keyboard-response","70","326987","0.0-3.0-1.33","true"
"618","ImagesCoins/10R102.5.png","190","test",".","image-keyboard-response","72","328109","0.0-3.0-1.34","true"
"657","ImagesCoins/10R105.png","190","test",".","image-keyboard-response","74","329268","0.0-3.0-1.35","true"
"931","ImagesCoins/10L92.5.png","190","test",".","image-keyboard-response","76","330701","0.0-3.0-1.36","true"
"793","ImagesCoins/10R95.png","188","test",",","image-keyboard-response","78","331997","0.0-3.0-1.37","true"
"1233","ImagesCoins/10L95.png","190","test",".","image-keyboard-response","80","333734","0.0-3.0-1.38","true"
"829","ImagesCoins/10R110.png","190","test",".","image-keyboard-response","82","335066","0.0-3.0-1.39","true"
"1118","ImagesCoins/10R102.5.png","188","test",".","image-keyboard-response","84","336686","0.0-3.0-1.40","false"
"761","ImagesCoins/10L90.png","190","test",".","image-keyboard-response","86","337951","0.0-3.0-1.41","true"
"714","ImagesCoins/10R107.5.png","190","test",".","image-keyboard-response","88","339167","0.0-3.0-1.42","true"
"738","ImagesCoins/10R92.5.png","188","test",",","image-keyboard-response","90","340407","0.0-3.0-1.43","true"
"1258","ImagesCoins/10L102.5.png","188","test",",","image-keyboard-response","92","342168","0.0-3.0-1.44","true"
"2322","ImagesCoins/10L100.png","190","test",".","image-keyboard-response","94","344992","0.0-3.0-1.45","true"
"817","ImagesCoins/10R100.png","190","test",".","image-keyboard-response","96","346312","0.0-3.0-1.46","true"
"753","ImagesCoins/10L107.5.png","188","test",",","image-keyboard-response","98","347569","0.0-3.0-1.47","true"
"1130","ImagesCoins/10L105.png","188","test",",","image-keyboard-response","100","349201","0.0-3.0-1.48","true"
"1065","ImagesCoins/10R90.png","188","test",",","image-keyboard-response","102","350769","0.0-3.0-1.49","true"
"649","ImagesCoins/10L110.png","188","test",",","image-keyboard-response","104","351922","0.0-3.0-1.50","true"
"1034","ImagesCoins/10R97.5.png","188","test",",","image-keyboard-response","106","353458","0.0-3.0-1.51","true"
"1072","ImagesCoins/10L97.5.png","190","test",".","image-keyboard-response","108","355033","0.0-3.0-1.52","true"
"818","ImagesCoins/10R105.png","190","test",".","image-keyboard-response","110","356355","0.0-3.0-1.53","true"
"625","ImagesCoins/10R105.png","190","test",".","image-keyboard-response","112","357482","0.0-3.0-1.54","true"
"658","ImagesCoins/10R90.png","188","test",",","image-keyboard-response","114","358643","0.0-3.0-1.55","true"
"1001","ImagesCoins/10R100.png","188","test",".","image-keyboard-response","116","360148","0.0-3.0-1.56","false"
"1010","ImagesCoins/10L105.png","188","test",",","image-keyboard-response","118","361660","0.0-3.0-1.57","true"
"929","ImagesCoins/10R102.5.png","190","test",".","image-keyboard-response","120","363092","0.0-3.0-1.58","true"
"697","ImagesCoins/10R95.png","188","test",",","image-keyboard-response","122","364292","0.0-3.0-1.59","true"
"729","ImagesCoins/10L110.png","188","test",",","image-keyboard-response","124","365525","0.0-3.0-1.60","true"
"776","ImagesCoins/10L90.png","190","test",".","image-keyboard-response","126","366804","0.0-3.0-1.61","true"
"1137","ImagesCoins/10L95.png","190","test",".","image-keyboard-response","128","368445","0.0-3.0-1.62","true"
"801","ImagesCoins/10R97.5.png","188","test",",","image-keyboard-response","130","369750","0.0-3.0-1.63","true"
"874","ImagesCoins/10R92.5.png","188","test",",","image-keyboard-response","132","371126","0.0-3.0-1.64","true"
"888","ImagesCoins/10R110.png","190","test",".","image-keyboard-response","134","372518","0.0-3.0-1.65","true"
"4746","ImagesCoins/10L102.5.png","188","test",",","image-keyboard-response","136","377768","0.0-3.0-1.66","true"
"897","ImagesCoins/10R107.5.png","190","test",".","image-keyboard-response","138","379170","0.0-3.0-1.67","true"
"1303","ImagesCoins/10L97.5.png","190","test",".","image-keyboard-response","140","380977","0.0-3.0-1.68","true"
"928","ImagesCoins/10L107.5.png","188","test",",","image-keyboard-response","142","382408","0.0-3.0-1.69","true"
"778","ImagesCoins/10L92.5.png","190","test",".","image-keyboard-response","144","383688","0.0-3.0-1.70","true"
"951","ImagesCoins/10L100.png","188","test",".","image-keyboard-response","146","385145","0.0-3.0-1.71","false"
"1041","ImagesCoins/10R92.5.png","188","test",",","image-keyboard-response","148","386690","0.0-3.0-1.72","true"
"825","ImagesCoins/10R105.png","190","test",".","image-keyboard-response","150","388017","0.0-3.0-1.73","true"
"892","ImagesCoins/10L90.png","190","test",".","image-keyboard-response","152","389411","0.0-3.0-1.74","true"
"3450","ImagesCoins/10L110.png","188","test",",","image-keyboard-response","154","393364","0.0-3.0-1.75","true"
"832","ImagesCoins/10L92.5.png","190","test",".","image-keyboard-response","156","394699","0.0-3.0-1.76","true"
"881","ImagesCoins/10L102.5.png","188","test",",","image-keyboard-response","158","396084","0.0-3.0-1.77","true"
"4202","ImagesCoins/10R97.5.png","190","test",",","image-keyboard-response","160","400789","0.0-3.0-1.78","false"
"1057","ImagesCoins/10R95.png","188","test",",","image-keyboard-response","162","402349","0.0-3.0-1.79","true"
"993","ImagesCoins/10R100.png","190","test",".","image-keyboard-response","164","403845","0.0-3.0-1.80","true"
"1168","ImagesCoins/10L97.5.png","190","test",".","image-keyboard-response","166","405517","0.0-3.0-1.81","true"
"610","ImagesCoins/10R107.5.png","190","test",".","image-keyboard-response","168","406630","0.0-3.0-1.82","true"
"617","ImagesCoins/10R110.png","190","test",".","image-keyboard-response","170","407750","0.0-3.0-1.83","true"
"802","ImagesCoins/10L105.png","188","test",",","image-keyboard-response","172","409055","0.0-3.0-1.84","true"
"1042","ImagesCoins/10L107.5.png","188","test",",","image-keyboard-response","174","410599","0.0-3.0-1.85","true"
"1424","ImagesCoins/10R90.png","188","test",",","image-keyboard-response","176","412526","0.0-3.0-1.86","true"
"961","ImagesCoins/10L100.png","190","test",".","image-keyboard-response","178","413991","0.0-3.0-1.87","true"
"1003","ImagesCoins/10L95.png","190","test",".","image-keyboard-response","180","415496","0.0-3.0-1.88","true"
"2243","ImagesCoins/10R102.5.png","190","test",".","image-keyboard-response","182","418241","0.0-3.0-1.89","true"
"15104","ImagesDirect/VR105.png","190","test",".","image-keyboard-response","184","433848","0.0-4.0-1.0","true"
"18483","ImagesTennis/TL90.png","190","test",".","image-keyboard-response","186","452833","0.0-4.0-1.1","true"
"1855","ImagesTennis/TR107.5.png","190","test",".","image-keyboard-response","188","455191","0.0-4.0-1.2","true"
"1427","ImagesTennis/TR110.png","190","test",".","image-keyboard-response","190","457121","0.0-4.0-1.3","true"
"6868","ImagesTennis/TR102.5.png","190","test",".","image-keyboard-response","192","464492","0.0-4.0-1.4","true"
"5307","ImagesSoccer/VL97.5.png","188","test",".","image-keyboard-response","194","470302","0.0-4.0-1.5","false"
"1342","ImagesTennis/TL105.png","188","test",",","image-keyboard-response","196","472147","0.0-4.0-1.6","true"
"3124","ImagesDirect/VL102.5.png","190","test",",","image-keyboard-response","198","475773","0.0-4.0-1.7","false"
"1131","ImagesSoccer/VR105.png","190","test",".","image-keyboard-response","200","477407","0.0-4.0-1.8","true"
"1705","ImagesDirect/VR100.png","188","test",".","image-keyboard-response","202","479615","0.0-4.0-1.9","false"
"1145","ImagesSoccer/VR92.5.png","188","test",",","image-keyboard-response","204","481263","0.0-4.0-1.10","true"
"1209","ImagesDirect/VR97.5.png","190","test",",","image-keyboard-response","206","482975","0.0-4.0-1.11","false"
"882","ImagesTennis/TL92.5.png","190","test",".","image-keyboard-response","208","484360","0.0-4.0-1.12","true"
"1097","ImagesTennis/TL102.5.png","188","test",",","image-keyboard-response","210","485960","0.0-4.0-1.13","true"
"1051","ImagesTennis/TR92.5.png","188","test",",","image-keyboard-response","212","487513","0.0-4.0-1.14","true"
"921","ImagesSoccer/VL92.5.png","190","test",".","image-keyboard-response","214","488937","0.0-4.0-1.15","true"
"1561","ImagesDirect/VL90.png","190","test",".","image-keyboard-response","216","491001","0.0-4.0-1.16","true"
"1183","ImagesSoccer/VR102.5.png","190","test",".","image-keyboard-response","218","492687","0.0-4.0-1.17","true"
"794","ImagesTennis/TL110.png","188","test",",","image-keyboard-response","220","493985","0.0-4.0-1.18","true"
"953","ImagesSoccer/VL95.png","190","test",".","image-keyboard-response","222","495440","0.0-4.0-1.19","true"
"67098","ImagesSoccer/VL105.png","188","test",",","image-keyboard-response","224","563040","0.0-4.0-1.20","true"
"3938","ImagesTennis/TL100.png","190","test",".","image-keyboard-response","226","567480","0.0-4.0-1.21","true"
"953","ImagesSoccer/VL100.png","188","test",".","image-keyboard-response","228","568936","0.0-4.0-1.22","false"
"705","ImagesSoccer/VL90.png","190","test",".","image-keyboard-response","230","570143","0.0-4.0-1.23","true"
"1913","ImagesSoccer/VR97.5.png","190","test",",","image-keyboard-response","232","572559","0.0-4.0-1.24","false"
"1240","ImagesTennis/TL95.png","190","test",".","image-keyboard-response","234","574302","0.0-4.0-1.25","true"
"1737","ImagesDirect/VR95.png","188","test",",","image-keyboard-response","236","576541","0.0-4.0-1.26","true"
"954","ImagesDirect/VR110.png","190","test",".","image-keyboard-response","238","577999","0.0-4.0-1.27","true"
"15071","ImagesSoccer/VR90.png","188","test",",","image-keyboard-response","240","593573","0.0-4.0-1.28","true"
"7145","ImagesTennis/TL97.5.png","190","test",".","image-keyboard-response","242","601220","0.0-4.0-1.29","true"
