"rt","stimulus","key_press","test_part","correct_response","trial_type","trial_index","time_elapsed","internal_node_id","correct"
"2016","ImagesCoins/10R102.5.png","190","test",".","image-keyboard-response","4","25642","0.0-3.0-1.0","true"
"978","ImagesCoins/10R110.png","190","test",".","image-keyboard-response","6","27133","0.0-3.0-1.1","true"
"1736","ImagesCoins/10R100.png","190","test",".","image-keyboard-response","8","29376","0.0-3.0-1.2","true"
"1390","ImagesCoins/10L105.png","188","test",",","image-keyboard-response","10","31270","0.0-3.0-1.3","true"
"1936","ImagesCoins/10L97.5.png","188","test",".","image-keyboard-response","12","33711","0.0-3.0-1.4","false"
"1106","ImagesCoins/10L110.png","188","test",",","image-keyboard-response","14","35322","0.0-3.0-1.5","true"
"707","ImagesCoins/10L92.5.png","190","test",".","image-keyboard-response","16","36533","0.0-3.0-1.6","true"
"890","ImagesCoins/10R107.5.png","190","test",".","image-keyboard-response","18","37929","0.0-3.0-1.7","true"
"1895","ImagesCoins/10L102.5.png","188","test",",","image-keyboard-response","20","40328","0.0-3.0-1.8","true"
"1177","ImagesCoins/10R90.png","188","test",",","image-keyboard-response","22","42010","0.0-3.0-1.9","true"
"793","ImagesCoins/10L107.5.png","188","test",",","image-keyboard-response","24","43310","0.0-3.0-1.10","true"
"1986","ImagesCoins/10R95.png","190","test",",","image-keyboard-response","26","45809","0.0-3.0-1.11","false"
"1342","ImagesCoins/10R92.5.png","188","test",",","image-keyboard-response","28","47654","0.0-3.0-1.12","true"
"738","ImagesCoins/10R97.5.png","190","test",",","image-keyboard-response","30","48909","0.0-3.0-1.13","false"
"928","ImagesCoins/10L100.png","188","test",".","image-keyboard-response","32","50341","0.0-3.0-1.14","false"
"561","ImagesCoins/10R105.png","190","test",".","image-keyboard-response","34","51406","0.0-3.0-1.15","true"
"755","ImagesCoins/10L90.png","190","test",".","image-keyboard-response","36","52681","0.0-3.0-1.16","true"
"737","ImagesCoins/10L95.png","190","test",".","image-keyboard-response","38","53921","0.0-3.0-1.17","true"
"691","ImagesCoins/10R107.5.png","190","test",".","image-keyboard-response","40","55125","0.0-3.0-1.18","true"
"696","ImagesCoins/10R102.5.png","190","test",".","image-keyboard-response","42","56325","0.0-3.0-1.19","true"
