"rt","stimulus","key_press","test_part","correct_response","trial_type","trial_index","time_elapsed","internal_node_id","correct"
"1172","ImagesDirect/VR100.png","190","test",".","image-keyboard-response","4","27821","0.0-3.0-1.0","true"
"1582","ImagesTennis/TL100.png","188","test",".","image-keyboard-response","6","29914","0.0-3.0-1.1","false"
"1230","ImagesSoccer/VR105.png","190","test",".","image-keyboard-response","8","31663","0.0-3.0-1.2","true"
"1612","ImagesDirect/VR95.png","188","test",",","image-keyboard-response","10","33788","0.0-3.0-1.3","true"
"2227","ImagesDirect/VL100.png","188","test",".","image-keyboard-response","12","36521","0.0-3.0-1.4","false"
"2184","ImagesDirect/VL102.5.png","188","test",",","image-keyboard-response","14","39211","0.0-3.0-1.5","true"
"1063","ImagesSoccer/VL90.png","190","test",".","image-keyboard-response","16","40786","0.0-3.0-1.6","true"
"1208","ImagesTennis/TR95.png","188","test",",","image-keyboard-response","18","42505","0.0-3.0-1.7","true"
"1261","ImagesSoccer/VR102.5.png","190","test",".","image-keyboard-response","20","44284","0.0-3.0-1.8","true"
"967","ImagesDirect/VR102.5.png","190","test",".","image-keyboard-response","22","45763","0.0-3.0-1.9","true"
"947","ImagesSoccer/VR92.5.png","188","test",",","image-keyboard-response","24","47227","0.0-3.0-1.10","true"
"848","ImagesDirect/VL110.png","188","test",",","image-keyboard-response","26","48579","0.0-3.0-1.11","true"
"838","ImagesDirect/VR110.png","190","test",".","image-keyboard-response","28","49924","0.0-3.0-1.12","true"
"883","ImagesDirect/VL90.png","188","test",".","image-keyboard-response","30","51313","0.0-3.0-1.13","false"
"1519","ImagesTennis/TL107.5.png","188","test",",","image-keyboard-response","32","53351","0.0-3.0-1.14","true"
"1325","ImagesTennis/TL102.5.png","190","test",",","image-keyboard-response","34","55188","0.0-3.0-1.15","false"
"957","ImagesSoccer/VL107.5.png","188","test",",","image-keyboard-response","36","56664","0.0-3.0-1.16","true"
"1323","ImagesTennis/TR105.png","190","test",".","image-keyboard-response","38","58504","0.0-3.0-1.17","true"
"926","ImagesDirect/VL107.5.png","188","test",",","image-keyboard-response","40","59949","0.0-3.0-1.18","true"
"790","ImagesTennis/TL90.png","190","test",".","image-keyboard-response","42","61257","0.0-3.0-1.19","true"
"941","ImagesSoccer/VR90.png","188","test",",","image-keyboard-response","44","62722","0.0-3.0-1.20","true"
"1032","ImagesSoccer/VL100.png","188","test",".","image-keyboard-response","46","64267","0.0-3.0-1.21","false"
"1115","ImagesTennis/TL97.5.png","190","test",".","image-keyboard-response","48","65901","0.0-3.0-1.22","true"
"1099","ImagesTennis/TL105.png","188","test",",","image-keyboard-response","50","67511","0.0-3.0-1.23","true"
"897","ImagesSoccer/VR110.png","190","test",".","image-keyboard-response","52","68927","0.0-3.0-1.24","true"
"1042","ImagesTennis/TR92.5.png","188","test",",","image-keyboard-response","54","70484","0.0-3.0-1.25","true"
"1459","ImagesTennis/TR97.5.png","188","test",",","image-keyboard-response","56","72461","0.0-3.0-1.26","true"
"1106","ImagesTennis/TL110.png","188","test",",","image-keyboard-response","58","74084","0.0-3.0-1.27","true"
"1253","ImagesDirect/VL95.png","188","test",".","image-keyboard-response","60","75843","0.0-3.0-1.28","false"
"1140","ImagesSoccer/VL97.5.png","190","test",".","image-keyboard-response","62","77489","0.0-3.0-1.29","true"
"806","ImagesDirect/VR105.png","190","test",".","image-keyboard-response","64","78804","0.0-3.0-1.30","true"
"1203","ImagesSoccer/VL102.5.png","188","test",",","image-keyboard-response","66","80528","0.0-3.0-1.31","true"
"698","ImagesSoccer/VR107.5.png","190","test",".","image-keyboard-response","68","81742","0.0-3.0-1.32","true"
"672","ImagesSoccer/VR100.png","190","test",".","image-keyboard-response","70","82943","0.0-3.0-1.33","true"
"740","ImagesSoccer/VL105.png","188","test",",","image-keyboard-response","72","84201","0.0-3.0-1.34","true"
"682","ImagesTennis/TR107.5.png","190","test",".","image-keyboard-response","74","85404","0.0-3.0-1.35","true"
"888","ImagesDirect/VL97.5.png","190","test",".","image-keyboard-response","76","86809","0.0-3.0-1.36","true"
"1047","ImagesSoccer/VL92.5.png","190","test",".","image-keyboard-response","78","88360","0.0-3.0-1.37","true"
"919","ImagesSoccer/VL110.png","188","test",",","image-keyboard-response","80","89799","0.0-3.0-1.38","true"
"770","ImagesTennis/TR110.png","190","test",".","image-keyboard-response","82","91079","0.0-3.0-1.39","true"
"1250","ImagesSoccer/VR97.5.png","188","test",",","image-keyboard-response","84","92838","0.0-3.0-1.40","true"
"863","ImagesDirect/VR90.png","188","test",",","image-keyboard-response","86","94231","0.0-3.0-1.41","true"
"741","ImagesTennis/TL95.png","190","test",".","image-keyboard-response","88","95494","0.0-3.0-1.42","true"
"1233","ImagesSoccer/VR95.png","188","test",",","image-keyboard-response","90","97244","0.0-3.0-1.43","true"
"670","ImagesDirect/VR107.5.png","190","test",".","image-keyboard-response","92","98427","0.0-3.0-1.44","true"
"2361","ImagesTennis/TR102.5.png","188","test",".","image-keyboard-response","94","101294","0.0-3.0-1.45","false"
"682","ImagesDirect/VR97.5.png","190","test",",","image-keyboard-response","96","102494","0.0-3.0-1.46","false"
"1257","ImagesSoccer/VL95.png","190","test",".","image-keyboard-response","98","104263","0.0-3.0-1.47","true"
"898","ImagesDirect/VR92.5.png","188","test",",","image-keyboard-response","100","105681","0.0-3.0-1.48","true"
"683","ImagesTennis/TR90.png","188","test",",","image-keyboard-response","102","106868","0.0-3.0-1.49","true"
"1887","ImagesTennis/TR100.png","188","test",".","image-keyboard-response","104","109274","0.0-3.0-1.50","false"
"617","ImagesDirect/VL105.png","188","test",",","image-keyboard-response","106","110404","0.0-3.0-1.51","true"
"755","ImagesDirect/VL92.5.png","190","test",".","image-keyboard-response","108","111668","0.0-3.0-1.52","true"
"800","ImagesTennis/TL92.5.png","190","test",".","image-keyboard-response","110","112987","0.0-3.0-1.53","true"
"2031","ImagesDirect/VR100.png","190","test",".","image-keyboard-response","112","115537","0.0-3.0-1.54","true"
"654","ImagesTennis/TL97.5.png","190","test",".","image-keyboard-response","114","116701","0.0-3.0-1.55","true"
"553","ImagesSoccer/VR100.png","190","test",".","image-keyboard-response","116","117760","0.0-3.0-1.56","true"
"738","ImagesTennis/TR110.png","190","test",".","image-keyboard-response","118","119018","0.0-3.0-1.57","true"
"585","ImagesTennis/TL110.png","188","test",",","image-keyboard-response","120","120116","0.0-3.0-1.58","true"
"694","ImagesTennis/TL100.png","190","test",".","image-keyboard-response","122","121330","0.0-3.0-1.59","true"
"639","ImagesSoccer/VL90.png","190","test",".","image-keyboard-response","124","122488","0.0-3.0-1.60","true"
"1096","ImagesDirect/VR92.5.png","188","test",",","image-keyboard-response","126","124096","0.0-3.0-1.61","true"
"581","ImagesSoccer/VL92.5.png","190","test",".","image-keyboard-response","128","125196","0.0-3.0-1.62","true"
"566","ImagesDirect/VR110.png","190","test",".","image-keyboard-response","130","126278","0.0-3.0-1.63","true"
"1007","ImagesTennis/TL95.png","190","test",".","image-keyboard-response","132","127797","0.0-3.0-1.64","true"
"711","ImagesDirect/VR102.5.png","190","test",".","image-keyboard-response","134","129026","0.0-3.0-1.65","true"
"611","ImagesDirect/VR107.5.png","190","test",".","image-keyboard-response","136","130155","0.0-3.0-1.66","true"
"597","ImagesTennis/TR92.5.png","188","test",",","image-keyboard-response","138","131265","0.0-3.0-1.67","true"
"876","ImagesSoccer/VL102.5.png","188","test",",","image-keyboard-response","140","132646","0.0-3.0-1.68","true"
"647","ImagesDirect/VR97.5.png","190","test",",","image-keyboard-response","142","133798","0.0-3.0-1.69","false"
"949","ImagesDirect/VR90.png","188","test",",","image-keyboard-response","144","135257","0.0-3.0-1.70","true"
"626","ImagesTennis/TL107.5.png","188","test",",","image-keyboard-response","146","136400","0.0-3.0-1.71","true"
"677","ImagesSoccer/VL100.png","188","test",".","image-keyboard-response","148","137596","0.0-3.0-1.72","false"
"1497","ImagesSoccer/VR97.5.png","188","test",",","image-keyboard-response","150","139611","0.0-3.0-1.73","true"
"848","ImagesTennis/TL90.png","190","test",".","image-keyboard-response","152","140976","0.0-3.0-1.74","true"
"823","ImagesTennis/TL102.5.png","190","test",",","image-keyboard-response","154","142319","0.0-3.0-1.75","false"
"1356","ImagesSoccer/VR105.png","190","test",".","image-keyboard-response","156","144195","0.0-3.0-1.76","true"
"845","ImagesDirect/VL100.png","188","test",".","image-keyboard-response","158","145549","0.0-3.0-1.77","false"
"940","ImagesSoccer/VR107.5.png","190","test",".","image-keyboard-response","160","147007","0.0-3.0-1.78","true"
"864","ImagesDirect/VR105.png","190","test",".","image-keyboard-response","162","148392","0.0-3.0-1.79","true"
"1753","ImagesDirect/VL90.png","190","test",".","image-keyboard-response","164","150652","0.0-3.0-1.80","true"
"1575","ImagesDirect/VL92.5.png","190","test",".","image-keyboard-response","166","152747","0.0-3.0-1.81","true"
"1321","ImagesSoccer/VR95.png","188","test",",","image-keyboard-response","168","154589","0.0-3.0-1.82","true"
"1307","ImagesTennis/TR95.png","188","test",",","image-keyboard-response","170","156414","0.0-3.0-1.83","true"
