"rt","stimulus","key_press","test_part","correct_response","trial_type","trial_index","time_elapsed","internal_node_id","correct"
"1587","ImagesCoins/10L110.png","188","test",",","image-keyboard-response","4","40359","0.0-3.0-1.0","true"
"1143","ImagesCoins/10R105.png","190","test",".","image-keyboard-response","6","42008","0.0-3.0-1.1","true"
"1831","ImagesCoins/10R97.5.png","190","test",",","image-keyboard-response","8","44344","0.0-3.0-1.2","false"
"1064","ImagesCoins/10R102.5.png","190","test",".","image-keyboard-response","10","45912","0.0-3.0-1.3","true"
"1664","ImagesCoins/10R100.png","190","test",".","image-keyboard-response","12","48080","0.0-3.0-1.4","true"
"1367","ImagesCoins/10R107.5.png","190","test",".","image-keyboard-response","14","49951","0.0-3.0-1.5","true"
"1616","ImagesCoins/10R95.png","190","test",",","image-keyboard-response","16","52072","0.0-3.0-1.6","false"
"777","ImagesCoins/10L97.5.png","188","test",".","image-keyboard-response","18","53353","0.0-3.0-1.7","false"
"2030","ImagesCoins/10L92.5.png","190","test",".","image-keyboard-response","20","55888","0.0-3.0-1.8","true"
"1479","ImagesCoins/10L90.png","190","test",".","image-keyboard-response","22","57872","0.0-3.0-1.9","true"
"1497","ImagesCoins/10L102.5.png","188","test",",","image-keyboard-response","24","59872","0.0-3.0-1.10","true"
"1329","ImagesCoins/10L105.png","188","test",",","image-keyboard-response","26","61704","0.0-3.0-1.11","true"
"1520","ImagesCoins/10L95.png","190","test",".","image-keyboard-response","28","63729","0.0-3.0-1.12","true"
"1617","ImagesCoins/10R90.png","188","test",",","image-keyboard-response","30","65848","0.0-3.0-1.13","true"
"1665","ImagesCoins/10L100.png","188","test",".","image-keyboard-response","32","68016","0.0-3.0-1.14","false"
"2929","ImagesCoins/10R92.5.png","188","test",",","image-keyboard-response","34","71448","0.0-3.0-1.15","true"
"1193","ImagesCoins/10L107.5.png","188","test",",","image-keyboard-response","36","73145","0.0-3.0-1.16","true"
"834","ImagesCoins/10R110.png","190","test",".","image-keyboard-response","38","74481","0.0-3.0-1.17","true"
"934","ImagesCoins/10R90.png","188","test",",","image-keyboard-response","40","75920","0.0-3.0-1.18","true"
"960","ImagesCoins/10L102.5.png","188","test",",","image-keyboard-response","42","77386","0.0-3.0-1.19","true"
"1239","ImagesCoins/10R92.5.png","188","test",",","image-keyboard-response","44","79129","0.0-3.0-1.20","true"
"1000","ImagesCoins/10R102.5.png","190","test",".","image-keyboard-response","46","80633","0.0-3.0-1.21","true"
"2936","ImagesCoins/10R100.png","190","test",".","image-keyboard-response","48","84073","0.0-3.0-1.22","true"
"1047","ImagesCoins/10L110.png","188","test",",","image-keyboard-response","50","85625","0.0-3.0-1.23","true"
"848","ImagesCoins/10R107.5.png","190","test",".","image-keyboard-response","52","86977","0.0-3.0-1.24","true"
"889","ImagesCoins/10L105.png","188","test",",","image-keyboard-response","54","88369","0.0-3.0-1.25","true"
"1121","ImagesCoins/10L100.png","188","test",".","image-keyboard-response","56","89992","0.0-3.0-1.26","false"
"2794","ImagesCoins/10L92.5.png","190","test",".","image-keyboard-response","58","93289","0.0-3.0-1.27","true"
"2919","ImagesCoins/10L95.png","190","test",".","image-keyboard-response","60","96713","0.0-3.0-1.28","true"
"1713","ImagesCoins/10R105.png","190","test",".","image-keyboard-response","62","98929","0.0-3.0-1.29","true"
"1441","ImagesCoins/10R110.png","190","test",".","image-keyboard-response","64","100873","0.0-3.0-1.30","true"
"3577","ImagesCoins/10R97.5.png","188","test",",","image-keyboard-response","66","104953","0.0-3.0-1.31","true"
"1298","ImagesCoins/10L90.png","190","test",".","image-keyboard-response","68","106753","0.0-3.0-1.32","true"
"1153","ImagesCoins/10L97.5.png","188","test",".","image-keyboard-response","70","108409","0.0-3.0-1.33","false"
"1057","ImagesCoins/10L107.5.png","188","test",",","image-keyboard-response","72","109970","0.0-3.0-1.34","true"
"2745","ImagesCoins/10R95.png","188","test",",","image-keyboard-response","74","113217","0.0-3.0-1.35","true"
"1994","ImagesCoins/10R95.png","188","test",",","image-keyboard-response","76","115713","0.0-3.0-1.36","true"
"944","ImagesCoins/10R105.png","190","test",".","image-keyboard-response","78","117161","0.0-3.0-1.37","true"
"2786","ImagesCoins/10R97.5.png","188","test",",","image-keyboard-response","80","120450","0.0-3.0-1.38","true"
"865","ImagesCoins/10R110.png","190","test",".","image-keyboard-response","82","121817","0.0-3.0-1.39","true"
"1466","ImagesCoins/10L110.png","188","test",",","image-keyboard-response","84","123785","0.0-3.0-1.40","true"
"2066","ImagesCoins/10L92.5.png","190","test",".","image-keyboard-response","86","126353","0.0-3.0-1.41","true"
"1785","ImagesCoins/10R102.5.png","188","test",".","image-keyboard-response","88","128641","0.0-3.0-1.42","false"
"1640","ImagesCoins/10L107.5.png","188","test",",","image-keyboard-response","90","130785","0.0-3.0-1.43","true"
"1865","ImagesCoins/10R90.png","188","test",",","image-keyboard-response","92","133153","0.0-3.0-1.44","true"
"1113","ImagesCoins/10L105.png","188","test",",","image-keyboard-response","94","134769","0.0-3.0-1.45","true"
"1969","ImagesCoins/10L95.png","188","test",".","image-keyboard-response","96","137241","0.0-3.0-1.46","false"
"1561","ImagesCoins/10L90.png","190","test",".","image-keyboard-response","98","139306","0.0-3.0-1.47","true"
"913","ImagesCoins/10L100.png","188","test",".","image-keyboard-response","100","140721","0.0-3.0-1.48","false"
"1283","ImagesCoins/10R92.5.png","188","test",",","image-keyboard-response","102","142506","0.0-3.0-1.49","true"
"1026","ImagesCoins/10L102.5.png","188","test",",","image-keyboard-response","104","144034","0.0-3.0-1.50","true"
"2409","ImagesCoins/10L97.5.png","188","test",".","image-keyboard-response","106","146945","0.0-3.0-1.51","false"
"914","ImagesCoins/10R107.5.png","190","test",".","image-keyboard-response","108","148361","0.0-3.0-1.52","true"
"2987","ImagesCoins/10R100.png","190","test",".","image-keyboard-response","110","151850","0.0-3.0-1.53","true"
"2346","ImagesCoins/10L90.png","190","test",".","image-keyboard-response","112","154698","0.0-3.0-1.54","true"
"1009","ImagesCoins/10R107.5.png","190","test",".","image-keyboard-response","114","156209","0.0-3.0-1.55","true"
"1786","ImagesCoins/10R100.png","188","test",".","image-keyboard-response","116","158498","0.0-3.0-1.56","false"
"898","ImagesCoins/10R105.png","190","test",".","image-keyboard-response","118","159898","0.0-3.0-1.57","true"
"713","ImagesCoins/10L110.png","188","test",",","image-keyboard-response","120","161114","0.0-3.0-1.58","true"
"1513","ImagesCoins/10L92.5.png","190","test",".","image-keyboard-response","122","163130","0.0-3.0-1.59","true"
"938","ImagesCoins/10R102.5.png","190","test",".","image-keyboard-response","124","164569","0.0-3.0-1.60","true"
"2001","ImagesCoins/10R90.png","188","test",",","image-keyboard-response","126","167074","0.0-3.0-1.61","true"
"945","ImagesCoins/10L100.png","188","test",".","image-keyboard-response","128","168521","0.0-3.0-1.62","false"
"1122","ImagesCoins/10R110.png","190","test",".","image-keyboard-response","130","170145","0.0-3.0-1.63","true"
"1162","ImagesCoins/10L105.png","188","test",",","image-keyboard-response","132","171810","0.0-3.0-1.64","true"
"1955","ImagesCoins/10L95.png","190","test",".","image-keyboard-response","134","174266","0.0-3.0-1.65","true"
"737","ImagesCoins/10L107.5.png","188","test",",","image-keyboard-response","136","175506","0.0-3.0-1.66","true"
"886","ImagesCoins/10L102.5.png","188","test",",","image-keyboard-response","138","176898","0.0-3.0-1.67","true"
"865","ImagesCoins/10L97.5.png","188","test",".","image-keyboard-response","140","178265","0.0-3.0-1.68","false"
"1451","ImagesCoins/10R95.png","188","test",",","image-keyboard-response","142","180218","0.0-3.0-1.69","true"
"1626","ImagesCoins/10R97.5.png","190","test",",","image-keyboard-response","144","182345","0.0-3.0-1.70","false"
"977","ImagesCoins/10R92.5.png","188","test",",","image-keyboard-response","146","183826","0.0-3.0-1.71","true"
"1002","ImagesCoins/10R107.5.png","190","test",".","image-keyboard-response","148","185330","0.0-3.0-1.72","true"
"1274","ImagesCoins/10R92.5.png","188","test",",","image-keyboard-response","150","187105","0.0-3.0-1.73","true"
"1810","ImagesCoins/10R100.png","190","test",".","image-keyboard-response","152","189418","0.0-3.0-1.74","true"
"808","ImagesCoins/10L97.5.png","188","test",".","image-keyboard-response","154","190729","0.0-3.0-1.75","false"
"938","ImagesCoins/10R95.png","190","test",",","image-keyboard-response","156","192169","0.0-3.0-1.76","false"
"787","ImagesCoins/10L102.5.png","188","test",",","image-keyboard-response","158","193458","0.0-3.0-1.77","true"
"1762","ImagesCoins/10L95.png","188","test",".","image-keyboard-response","160","195721","0.0-3.0-1.78","false"
"833","ImagesCoins/10R97.5.png","190","test",",","image-keyboard-response","162","197057","0.0-3.0-1.79","false"
"1298","ImagesCoins/10R90.png","188","test",",","image-keyboard-response","164","198857","0.0-3.0-1.80","true"
"1113","ImagesCoins/10L100.png","188","test",".","image-keyboard-response","166","200473","0.0-3.0-1.81","false"
"882","ImagesCoins/10R110.png","190","test",".","image-keyboard-response","168","201857","0.0-3.0-1.82","true"
"761","ImagesCoins/10L107.5.png","188","test",",","image-keyboard-response","170","203122","0.0-3.0-1.83","true"
"914","ImagesCoins/10L110.png","188","test",",","image-keyboard-response","172","204537","0.0-3.0-1.84","true"
"1137","ImagesCoins/10R105.png","190","test",".","image-keyboard-response","174","206178","0.0-3.0-1.85","true"
"2705","ImagesCoins/10L92.5.png","190","test",".","image-keyboard-response","176","209385","0.0-3.0-1.86","true"
"737","ImagesCoins/10L105.png","188","test",",","image-keyboard-response","178","210625","0.0-3.0-1.87","true"
