rt;stimulus;key_press;test_part;correct_response;trial_type;trial_index;time_elapsed;internal_node_id;correct
12718;ImagesDirect/VL102.5.png;188;test;,;image-keyboard-response;4;50061;0.0-3.0-1.0;true
3755;ImagesSoccer/VR102.5.png;190;test;.;image-keyboard-response;6;54334;0.0-3.0-1.1;true
2149;ImagesTennis/TR100.png;190;test;.;image-keyboard-response;8;57005;0.0-3.0-1.2;true
1126;ImagesSoccer/VR100.png;190;test;.;image-keyboard-response;10;58646;0.0-3.0-1.3;true
1263;ImagesSoccer/VL110.png;188;test;,;image-keyboard-response;12;60429;0.0-3.0-1.4;true
2137;ImagesSoccer/VL102.5.png;188;test;,;image-keyboard-response;14;63073;0.0-3.0-1.5;true
1013;ImagesTennis/TL110.png;188;test;,;image-keyboard-response;16;64599;0.0-3.0-1.6;true
764;ImagesSoccer/VR92.5.png;190;test;,;image-keyboard-response;18;65867;0.0-3.0-1.7;false
4280;ImagesTennis/TL92.5.png;190;test;.;image-keyboard-response;20;70654;0.0-3.0-1.8;true
4318;ImagesSoccer/VL95.png;190;test;.;image-keyboard-response;22;75480;0.0-3.0-1.9;true
1105;ImagesSoccer/VL105.png;188;test;,;image-keyboard-response;24;77101;0.0-3.0-1.10;true
940;ImagesDirect/VR105.png;190;test;.;image-keyboard-response;26;78550;0.0-3.0-1.11;true
7339;ImagesTennis/TR92.5.png;188;test;,;image-keyboard-response;28;86403;0.0-3.0-1.12;true
9906;ImagesDirect/VR97.5.png;190;test;,;image-keyboard-response;30;96820;0.0-3.0-1.13;false
4667;ImagesDirect/VL97.5.png;188;test;.;image-keyboard-response;32;102002;0.0-3.0-1.14;false
856;ImagesDirect/VL90.png;190;test;.;image-keyboard-response;34;103377;0.0-3.0-1.15;true
1467;ImagesTennis/TL97.5.png;190;test;.;image-keyboard-response;36;105352;0.0-3.0-1.16;true
789;ImagesDirect/VR110.png;190;test;.;image-keyboard-response;38;106648;0.0-3.0-1.17;true
812;ImagesTennis/TL90.png;190;test;.;image-keyboard-response;40;107969;0.0-3.0-1.18;true
2339;ImagesSoccer/VR95.png;188;test;,;image-keyboard-response;42;110815;0.0-3.0-1.19;true
1014;ImagesTennis/TL95.png;190;test;.;image-keyboard-response;44;112333;0.0-3.0-1.20;true
1286;ImagesSoccer/VL90.png;190;test;.;image-keyboard-response;46;114127;0.0-3.0-1.21;true
3463;ImagesDirect/VL95.png;188;test;.;image-keyboard-response;48;118095;0.0-3.0-1.22;false
1877;ImagesTennis/TR105.png;190;test;.;image-keyboard-response;50;120490;0.0-3.0-1.23;true
2766;ImagesSoccer/VL92.5.png;190;test;.;image-keyboard-response;52;123760;0.0-3.0-1.24;true
4072;ImagesDirect/VR102.5.png;190;test;.;image-keyboard-response;54;128350;0.0-3.0-1.25;true
639;ImagesDirect/VL107.5.png;188;test;,;image-keyboard-response;56;129508;0.0-3.0-1.26;true
5637;ImagesSoccer/VL100.png;188;test;.;image-keyboard-response;58;135651;0.0-3.0-1.27;false
1379;ImagesSoccer/VR105.png;190;test;.;image-keyboard-response;60;137549;0.0-3.0-1.28;true
910;ImagesSoccer/VR90.png;188;test;,;image-keyboard-response;62;138964;0.0-3.0-1.29;true
7843;ImagesTennis/TL102.5.png;190;test;,;image-keyboard-response;64;147318;0.0-3.0-1.30;false
8629;ImagesDirect/VR95.png;188;test;,;image-keyboard-response;66;156459;0.0-3.0-1.31;true
619;ImagesSoccer/VR97.5.png;190;test;,;image-keyboard-response;68;157583;0.0-3.0-1.32;false
763;ImagesTennis/TR102.5.png;190;test;.;image-keyboard-response;70;158868;0.0-3.0-1.33;true
843;ImagesDirect/VR100.png;190;test;.;image-keyboard-response;72;160217;0.0-3.0-1.34;true
642;ImagesDirect/VL100.png;188;test;.;image-keyboard-response;74;161433;0.0-3.0-1.35;false
588;ImagesSoccer/VR107.5.png;190;test;.;image-keyboard-response;76;162536;0.0-3.0-1.36;true
604;ImagesTennis/TR95.png;188;test;,;image-keyboard-response;78;163646;0.0-3.0-1.37;true
559;ImagesDirect/VR90.png;188;test;,;image-keyboard-response;80;164712;0.0-3.0-1.38;true
2055;ImagesDirect/VL105.png;188;test;,;image-keyboard-response;82;167273;0.0-3.0-1.39;true
3917;ImagesSoccer/VL97.5.png;190;test;.;image-keyboard-response;84;171708;0.0-3.0-1.40;true
838;ImagesTennis/TR110.png;190;test;.;image-keyboard-response;86;173064;0.0-3.0-1.41;true
2418;ImagesTennis/TR97.5.png;188;test;,;image-keyboard-response;88;175990;0.0-3.0-1.42;true
629;ImagesSoccer/VR110.png;190;test;.;image-keyboard-response;90;177189;0.0-3.0-1.43;true
5061;ImagesTennis/TL100.png;190;test;.;image-keyboard-response;92;182756;0.0-3.0-1.44;true
743;ImagesDirect/VR92.5.png;188;test;,;image-keyboard-response;94;184011;0.0-3.0-1.45;true
2521;ImagesTennis/TL107.5.png;188;test;,;image-keyboard-response;96;187043;0.0-3.0-1.46;true
648;ImagesDirect/VL110.png;188;test;,;image-keyboard-response;98;188210;0.0-3.0-1.47;true
