"rt","stimulus","key_press","test_part","correct_response","trial_type","trial_index","time_elapsed","internal_node_id","correct"
"984","ImagesSoccer/VL97.5.png","190","test",".","image-keyboard-response","4","18402","0.0-3.0-1.0","true"
"1170","ImagesDirect/VL110.png","188","test",",","image-keyboard-response","6","20086","0.0-3.0-1.1","true"
"1932","ImagesSoccer/VL107.5.png","188","test",",","image-keyboard-response","8","22528","0.0-3.0-1.2","true"
"922","ImagesSoccer/VR105.png","190","test",".","image-keyboard-response","10","23959","0.0-3.0-1.3","true"
"1169","ImagesTennis/TL90.png","190","test",".","image-keyboard-response","12","25646","0.0-3.0-1.4","true"
"1111","ImagesDirect/VR95.png","190","test",",","image-keyboard-response","14","27268","0.0-3.0-1.5","false"
"2335","ImagesSoccer/VL95.png","190","test",".","image-keyboard-response","16","30122","0.0-3.0-1.6","true"
"697","ImagesDirect/VL105.png","188","test",",","image-keyboard-response","18","31323","0.0-3.0-1.7","true"
"988","ImagesDirect/VR97.5.png","190","test",",","image-keyboard-response","20","32815","0.0-3.0-1.8","false"
"2666","ImagesSoccer/VR100.png","190","test",".","image-keyboard-response","22","35996","0.0-3.0-1.9","true"
"1945","ImagesDirect/VL92.5.png","190","test",".","image-keyboard-response","24","38450","0.0-3.0-1.10","true"
"1179","ImagesDirect/VL102.5.png","188","test",",","image-keyboard-response","26","40146","0.0-3.0-1.11","true"
"1567","ImagesTennis/TL105.png","188","test",",","image-keyboard-response","28","42233","0.0-3.0-1.12","true"
"734","ImagesTennis/TL92.5.png","190","test",".","image-keyboard-response","30","43480","0.0-3.0-1.13","true"
"1450","ImagesDirect/VR90.png","188","test",",","image-keyboard-response","32","45436","0.0-3.0-1.14","true"
"736","ImagesDirect/VR107.5.png","190","test",".","image-keyboard-response","34","46682","0.0-3.0-1.15","true"
"589","ImagesTennis/TR92.5.png","188","test",",","image-keyboard-response","36","47776","0.0-3.0-1.16","true"
"969","ImagesDirect/VL100.png","188","test",".","image-keyboard-response","38","49251","0.0-3.0-1.17","false"
"707","ImagesSoccer/VL90.png","190","test",".","image-keyboard-response","40","50473","0.0-3.0-1.18","true"
"626","ImagesDirect/VR105.png","190","test",".","image-keyboard-response","42","51611","0.0-3.0-1.19","true"
"637","ImagesTennis/TL110.png","188","test",",","image-keyboard-response","44","52754","0.0-3.0-1.20","true"
"1194","ImagesTennis/TR100.png","188","test",".","image-keyboard-response","46","54459","0.0-3.0-1.21","false"
"589","ImagesTennis/TR110.png","190","test",".","image-keyboard-response","48","55556","0.0-3.0-1.22","true"
"2149","ImagesDirect/VL95.png","188","test",".","image-keyboard-response","50","58215","0.0-3.0-1.23","false"
"994","ImagesTennis/TL100.png","190","test",".","image-keyboard-response","52","59732","0.0-3.0-1.24","true"
"834","ImagesTennis/TR95.png","188","test",",","image-keyboard-response","54","61070","0.0-3.0-1.25","true"
"637","ImagesDirect/VL90.png","190","test",".","image-keyboard-response","56","62215","0.0-3.0-1.26","true"
"519","ImagesSoccer/VL102.5.png","188","test",",","image-keyboard-response","58","63255","0.0-3.0-1.27","true"
"500","ImagesSoccer/VR107.5.png","190","test",".","image-keyboard-response","60","64275","0.0-3.0-1.28","true"
"887","ImagesTennis/TL95.png","190","test",".","image-keyboard-response","62","65683","0.0-3.0-1.29","true"
"901","ImagesSoccer/VR102.5.png","190","test",".","image-keyboard-response","64","67097","0.0-3.0-1.30","true"
"786","ImagesTennis/TR107.5.png","190","test",".","image-keyboard-response","66","68402","0.0-3.0-1.31","true"
"562","ImagesSoccer/VR110.png","190","test",".","image-keyboard-response","68","69468","0.0-3.0-1.32","true"
"812","ImagesDirect/VR102.5.png","188","test",".","image-keyboard-response","70","70788","0.0-3.0-1.33","false"
"824","ImagesDirect/VL107.5.png","188","test",",","image-keyboard-response","72","72121","0.0-3.0-1.34","true"
"921","ImagesTennis/TR105.png","190","test",".","image-keyboard-response","74","73558","0.0-3.0-1.35","true"
"764","ImagesDirect/VL97.5.png","188","test",".","image-keyboard-response","76","74839","0.0-3.0-1.36","false"
"973","ImagesSoccer/VR92.5.png","188","test",",","image-keyboard-response","78","76328","0.0-3.0-1.37","true"
"666","ImagesSoccer/VL92.5.png","190","test",".","image-keyboard-response","80","77503","0.0-3.0-1.38","true"
"670","ImagesTennis/TL107.5.png","188","test",",","image-keyboard-response","82","78687","0.0-3.0-1.39","true"
"679","ImagesTennis/TR90.png","188","test",",","image-keyboard-response","84","79875","0.0-3.0-1.40","true"
"676","ImagesSoccer/VL100.png","190","test",".","image-keyboard-response","86","81073","0.0-3.0-1.41","true"
"590","ImagesSoccer/VL105.png","188","test",",","image-keyboard-response","88","82167","0.0-3.0-1.42","true"
"604","ImagesSoccer/VR97.5.png","190","test",",","image-keyboard-response","90","83281","0.0-3.0-1.43","false"
"760","ImagesDirect/VR92.5.png","188","test",",","image-keyboard-response","92","84556","0.0-3.0-1.44","true"
"2087","ImagesTennis/TR102.5.png","188","test",".","image-keyboard-response","94","87162","0.0-3.0-1.45","false"
"1199","ImagesTennis/TL102.5.png","188","test",",","image-keyboard-response","96","88866","0.0-3.0-1.46","true"
