"rt","stimulus","key_press","test_part","correct_response","trial_type","trial_index","time_elapsed","internal_node_id","correct"
"5244","ImagesDirect/VL97.5.png","188","test",".","image-keyboard-response","4","105052","0.0-3.0-1.0","false"
"4458","ImagesTennis/TL92.5.png","190","test",".","image-keyboard-response","6","110016","0.0-3.0-1.1","true"
"3605","ImagesSoccer/VL90.png","190","test",".","image-keyboard-response","8","114125","0.0-3.0-1.2","true"
"6324","ImagesSoccer/VL105.png","188","test",",","image-keyboard-response","10","120956","0.0-3.0-1.3","true"
"3487","ImagesTennis/TL90.png","190","test",".","image-keyboard-response","12","124947","0.0-3.0-1.4","true"
"1992","ImagesSoccer/VR110.png","190","test",".","image-keyboard-response","14","127443","0.0-3.0-1.5","true"
"6484","ImagesTennis/TL102.5.png","190","test",",","image-keyboard-response","16","134429","0.0-3.0-1.6","false"
"1901","ImagesDirect/VL105.png","188","test",",","image-keyboard-response","18","136834","0.0-3.0-1.7","true"
"2677","ImagesDirect/VR90.png","188","test",",","image-keyboard-response","20","140016","0.0-3.0-1.8","true"
"3894","ImagesSoccer/VL97.5.png","190","test",".","image-keyboard-response","22","144414","0.0-3.0-1.9","true"
"8193","ImagesTennis/TL105.png","188","test",",","image-keyboard-response","24","153111","0.0-3.0-1.10","true"
"1247","ImagesSoccer/VL110.png","188","test",",","image-keyboard-response","26","154862","0.0-3.0-1.11","true"
"1349","ImagesSoccer/VL107.5.png","188","test",",","image-keyboard-response","28","156715","0.0-3.0-1.12","true"
"1313","ImagesDirect/VL107.5.png","188","test",",","image-keyboard-response","30","158534","0.0-3.0-1.13","true"
"6032","ImagesSoccer/VL100.png","188","test",".","image-keyboard-response","32","165069","0.0-3.0-1.14","false"
"1501","ImagesDirect/VL102.5.png","188","test",",","image-keyboard-response","34","167075","0.0-3.0-1.15","true"
"4575","ImagesTennis/TR100.png","188","test",".","image-keyboard-response","36","172154","0.0-3.0-1.16","false"
"1174","ImagesSoccer/VR107.5.png","190","test",".","image-keyboard-response","38","173834","0.0-3.0-1.17","true"
"1607","ImagesSoccer/VL102.5.png","188","test",",","image-keyboard-response","40","175945","0.0-3.0-1.18","true"
"174791","ImagesDirect/VL92.5.png","190","test",".","image-keyboard-response","42","351241","0.0-3.0-1.19","true"
"2798","ImagesTennis/TR102.5.png","190","test",".","image-keyboard-response","44","354545","0.0-3.0-1.20","true"
"2062","ImagesDirect/VL100.png","188","test",".","image-keyboard-response","46","357111","0.0-3.0-1.21","false"
"1432","ImagesTennis/TR95.png","188","test",",","image-keyboard-response","48","359046","0.0-3.0-1.22","true"
"3103","ImagesDirect/VR92.5.png","188","test",",","image-keyboard-response","50","362653","0.0-3.0-1.23","true"
"3824","ImagesSoccer/VL92.5.png","190","test",".","image-keyboard-response","52","366982","0.0-3.0-1.24","true"
"1265","ImagesDirect/VR107.5.png","190","test",".","image-keyboard-response","54","368751","0.0-3.0-1.25","true"
"2259","ImagesDirect/VR100.png","190","test",".","image-keyboard-response","56","371514","0.0-3.0-1.26","true"
"3320","ImagesSoccer/VR92.5.png","188","test",",","image-keyboard-response","58","375339","0.0-3.0-1.27","true"
"3659","ImagesTennis/TL107.5.png","188","test",",","image-keyboard-response","60","379503","0.0-3.0-1.28","true"
"1577","ImagesDirect/VR97.5.png","190","test",",","image-keyboard-response","62","381586","0.0-3.0-1.29","false"
"2129","ImagesTennis/TL95.png","190","test",".","image-keyboard-response","64","384218","0.0-3.0-1.30","true"
"3253","ImagesSoccer/VR90.png","188","test",",","image-keyboard-response","66","387976","0.0-3.0-1.31","true"
"3138","ImagesDirect/VL95.png","190","test",".","image-keyboard-response","68","391619","0.0-3.0-1.32","true"
"2011","ImagesTennis/TR105.png","190","test",".","image-keyboard-response","70","394140","0.0-3.0-1.33","true"
"899","ImagesDirect/VR110.png","190","test",".","image-keyboard-response","72","395543","0.0-3.0-1.34","true"
"1262","ImagesTennis/TL97.5.png","190","test",".","image-keyboard-response","74","397309","0.0-3.0-1.35","true"
"2603","ImagesSoccer/VL95.png","190","test",".","image-keyboard-response","76","400416","0.0-3.0-1.36","true"
"2086","ImagesSoccer/VR102.5.png","190","test",".","image-keyboard-response","78","403005","0.0-3.0-1.37","true"
